event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,female,April Rustichelli,57.80,40,42,-45,55,58,60,42,60,102
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,female,Jasmine Higgins,62.25,37,-40,-42,-55,55,58,37,58,95
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,female,Rebecca Smith,90.90,36,-38,38,43,46,49,38,49,87
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,female,Julie Davis,54.85,25,26,27,35,37,39,27,39,66
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,female,Colleen Duplock,56.20,26,27,28,35,37,39,28,39,67
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,female,Linda Ryan,63.55,30,32,35,40,44,-48,35,44,79
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,female,Lesley Moyle,62.00,27,-28,-28,36,38,40,27,40,67
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,male,Bailey Dixon,76.35,52,56,-60,75,78,80,56,80,136
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,male,Dugal Smith,88.70,68,-72,72,100,105,108,72,108,180
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,male,Rohan Cuffe,98.95,110,115,120,135,140,-145,120,140,260
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,male,Mitchell Levy,114.70,65,-68,68,85,88,91,68,91,159
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,male,Ben Paris,64.30,88,93,98,110,115,-121,98,115,213
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,male,Clint Winchester,68.10,54,57,59,73,-76,-79,59,73,132
Qld Club Challenge Round 3 – North Brisbane,2016-08-13,male,Anthony Mckeown,83.50,65,68,70,90,92,100,70,100,170
