event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Yolandie Weir,48.40,54,57,59,65,68,71,59,71,130
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Karli Duesbury,54.65,64,67,69,82,84,86,69,86,155
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Janaya Nikora,54.75,63,66,68,82,84,-86,68,84,152
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Hayley Ward,54.70,62,65,-67,83,86,-90,65,86,151
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Alyce Stephenson,52.30,58,-60,60,78,80,-82,60,80,140
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Shenae Watson,55.00,52,56,59,71,75,-78,59,75,134
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Melanie O'sullivan,55.00,48,51,54,65,69,73,54,73,127
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Sophie Daley,54.65,45,47,50,59,63,-66,50,63,113
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Morgan Lund,52.90,40,43,45,62,-65,-65,45,62,107
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Alex Falkenmire,54.10,42,-45,-45,-57,57,62,42,62,104
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Tori Gallegos,58.85,76,80,84,-95,95,-100,84,95,179
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Julie Hind,59.00,66,69,71,80,83,-86,71,83,154
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Sarah Hearn,58.60,62,-65,65,83,-85,87,65,87,152
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Kayla Miller-Gorce,58.15,60,63,66,76,80,85,66,85,151
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Dominika Makosova,56.65,-62,62,66,80,83,-85,66,83,149
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Emily Furness,58.60,53,-56,-56,70,73,-75,53,73,126
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Lauren Hastings,57.80,46,-49,49,59,62,65,49,65,114
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Jessica Malone,58.05,42,45,47,63,67,-70,47,67,114
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Gabrielle Snowdon,59.00,45,-48,51,58,-61,-63,51,58,109
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Ciara Taylor,57.90,47,-50,50,56,59,-61,50,59,109
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Laura Macdonald,58.25,42,-45,-45,-60,-60,-60,42,0,0
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Alecha Mahoney-Piva,63.05,70,74,78,90,94,98,78,98,176
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Courtney Haley,63.70,71,-75,75,89,93,98,75,98,173
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Gabrielle Clyburn,63.15,75,78,80,90,-94,-94,80,90,170
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Briony Challis,61.20,67,70,73,87,-92,93,73,93,166
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Rhian Roussos,63.40,71,75,78,87,-90,-90,78,87,165
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Taleea Menyweather,62.80,67,70,-73,90,-94,-98,70,90,160
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Elizabeth Sawyer,62.95,66,-70,-72,81,-91,-91,66,81,147
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Chloe Watkin,62.55,60,62,64,74,77,-80,64,77,141
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Hailinn Diola,62.70,56,59,-62,77,-80,-81,59,77,136
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,female,Rebecca Jakubovsky,63.20,53,-56,56,69,72,75,56,75,131
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,male,Fred Buchanan,54.80,71,-73,-73,81,85,-87,71,85,156
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,male,Blake Armitage,60.90,80,84,0,111,0,0,84,111,195
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,male,Quyen Nguyen,60.80,73,-77,80,95,100,105,80,105,185
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,male,Harper Manz,64.35,84,-89,-90,95,100,105,84,105,189
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,male,Luke Bidgood,65.80,68,-72,-75,90,94,97,68,97,165
Qld Senior Championships F49kg - F64kg; M55kg - M81kg,2021-07-30,male,David Gilpatrick,71.90,87,92,-96,112,116,-120,92,116,208
