event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,56 kg Men,TULO Manueli,55.51,104,-108,-108,127,-131,-131,104,127,231
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,56 kg Men,BRECHTEFELD Elson Edward,55.47,-100,100,-104,125,-131,-131,100,125,225
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,56 kg Men,QAQA Poama,55.75,83,87,-92,100,110,-115,87,110,197
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,56 kg Men,KUAABA Tibwere,55.17,64,69,-74,81,-90,-90,69,81,150
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,62 kg Men,BARU Morea,61.89,120,-125,-125,162,-163,163,120,163,283
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,62 kg Men,IOANE Vaipava Nevo,61.95,115,-120,120,156,163,-164,120,163,283
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,62 kg Men,DAU Isikeli,61.11,90,95,-98,-115,115,120,95,120,215
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,62 kg Men,DOGUAPE Larko,60.62,84,-90,90,105,110,-112,90,110,200
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,62 kg Men,RAMOHAKA Brown Chester,61.56,90,-95,-96,120,-125,-125,90,120,210
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,62 kg Men,BETERO Takirua,61.36,82,87,-92,107,112,-117,87,112,199
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,62 kg Men,DETUDAMO Uea,60.92,70,-75,-75,80,85,-90,70,85,155
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,69 kg Men,MINGINFEL Manuel,68.37,115,120,-125,150,-157,-158,120,150,270
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,69 kg Men,OALA Fred Karoho,68.73,115,120,-125,151,158,-163,120,158,278
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,69 kg Men,VILLALON Vester Louie,68.46,109,-113,113,140,144,-153,113,144,257
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,69 kg Men,KATOATAU Ruben,68.11,103,107,111,135,140,-145,111,140,251
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,69 kg Men,LAPUA Lapua Tuau,68.32,100,105,110,-140,-140,140,110,140,250
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,69 kg Men,BUCKNELL William Dannis,68.77,93,98,-101,-115,-115,0,98,0,0
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,69 kg Men,LAPUA Munua Tuau,67.39,90,94,97,115,120,125,97,125,222
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,69 kg Men,MAE Leslie,68.69,90,-95,95,105,-110,-110,95,105,200
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,69 kg Men,CAIN Quamen Ezekiel,67.54,85,90,93,110,-118,-118,93,110,203
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,69 kg Men,PATRIS Stevick,68.59,-110,-110,-110,0,0,0,0,0,0
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,77 kg Men,ETOUNDI Francois,76.98,135,-140,-141,156,-163,0,135,156,291
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,77 kg Men,ELLIOTT Frank Donald,76.56,-125,125,131,148,-153,-155,131,148,279
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,77 kg Men,PERIVE Toafitu,76.39,-123,123,127,-163,163,-169,127,163,290
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,77 kg Men,TABAROUA Taretiita Baraniko,76.00,120,125,-128,160,165,-169,125,165,290
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,77 kg Men,HSU An-Ti,75.99,-118,118,-123,-138,138,144,118,144,262
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,77 kg Men,LOLOHEA Charlie,75.53,97,105,-108,123,135,141,105,141,246
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,77 kg Men,CAIN Isaiah,74.95,95,100,-105,130,135,140,100,140,240
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,77 kg Men,VEIDREYAKI Patrick Tawake,75.53,95,-100,100,120,130,-141,100,130,230
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,77 kg Men,MENKE Petrillo,73.46,90,95,97,120,128,-135,97,128,225
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,85 kg Men,PATTERSON Richard John Edward,84.85,145,150,-155,180,-190,-190,150,180,330
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,85 kg Men,CHAMOUN Malek,84.40,135,140,-145,-170,170,-175,140,170,310
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,85 kg Men,DELBRIDGE Mitchell Roderic Thomas,83.63,131,137,-143,155,-158,-160,137,155,292
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,85 kg Men,OPELOGE Petunu,84.69,-136,-136,136,175,182,-190,136,182,318
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,85 kg Men,BOB Kabuati Silas,83.38,121,125,128,163,166,-170,128,166,294
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,85 kg Men,TOROMON Takenibeia,83.89,118,123,127,153,160,165,127,165,292
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,85 kg Men,GOROSI David,81.13,-120,120,-123,149,152,156,120,156,276
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,85 kg Men,CONCEPCION Shane Alan,83.84,115,-120,120,145,150,153,120,153,273
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,85 kg Men,MAFUTUNA Jason Silione Ilalio,84.22,108,113,117,135,140,-145,117,140,257
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,85 kg Men,ESAU Logona,82.77,105,110,-115,143,150,-155,110,150,260
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,94 kg Men,LEUO Siaosi,92.37,140,-145,150,186,0,0,150,186,336
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,94 kg Men,RIBOUEM Simplice,93.12,-150,150,-155,185,-196,-196,150,185,335
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,94 kg Men,JUNGBLUT Tanumafili Malietoa,93.86,-143,143,-148,-175,175,-179,143,175,318
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,94 kg Men,PETELO Koriata,93.37,140,-145,-147,170,178,-186,140,178,318
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,94 kg Men,SEKONE-FRASER Douglas Liva,91.74,-127,127,130,155,-160,160,130,160,290
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,94 kg Men,RAIVIU Mesake,92.86,110,120,-125,140,-155,-160,120,140,260
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,94 kg Men,TULIKAKI Sioeli Fotofili,93.52,110,-115,-115,130,-135,-135,110,130,240
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,94 kg Men,LARKINS Liam Peter,88.38,-128,0,0,0,0,0,0,0,0
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,105 kg Men,KATOATAU David,102.63,144,148,-151,193,201,-211,148,201,349
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,105 kg Men,MAO Sanele,104.14,-145,145,-151,181,190,-195,145,190,335
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,105 kg Men,TAYLOR Rory Phillip,104.55,135,139,-142,-175,175,180,139,180,319
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,105 kg Men,POMELILE Sio Talakai,104.53,125,130,135,172,-179,-184,135,172,307
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,105 kg Men,BARREDO Ridge Nathan Richard,98.58,122,127,132,163,168,-175,132,168,300
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,105 kg Men,TOAVALU FAASIPA Tovale,98.17,123,-130,-130,-154,154,164,123,164,287
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,105 kg Men,TUFELE Liamatua Samuelu,103.67,-107,107,110,-140,145,-150,110,145,255
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,105 kg Men,ERASITO Kamoe Philip,103.18,100,105,-110,115,125,135,105,135,240
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,+105 kg Men,KELLY Damon Joseph,145.39,-160,160,168,205,-217,-217,168,205,373
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,+105 kg Men,DETENAMO Itte,170.03,160,165,168,208,-218,0,168,208,376
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,+105 kg Men,LUI Lauititi,129.71,158,163,167,201,-207,-209,167,201,368
2016 OCEANIAN CHAMPIONSHIPS,2016-05-23,+105 kg Men,LITI David Andrew,148.46,146,152,157,-200,200,206,157,206,363
