event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Oldbury Open Spring 22,2022-03-05,Men's Masters (35-39) 102Kg,Charlie Stone,98.35,125,-130,130,150,155,-160,130,155,285
Oldbury Open Spring 22,2022-03-05,Men's Under 23 96Kg,Joseph White,89.85,110,114,116,135,141,-142,116,141,257
Oldbury Open Spring 22,2022-03-05,Men's Under 23 96Kg,Khalil Ali,92.65,105,109,112,137,142,-146,112,142,254
Oldbury Open Spring 22,2022-03-05,Men's Junior Under 20 73Kg,Ayo Fadahunsi,73,105,111,-116,-135,135,-141,111,135,246
Oldbury Open Spring 22,2022-03-05,Men's Senior 67Kg,Jaswant Shergill,66.2,95,101,-110,120,125,140,101,140,241
Oldbury Open Spring 22,2022-03-05,Men's Senior 81Kg,Lee Salter,81,97,101,104,130,135,-140,104,135,239
Oldbury Open Spring 22,2022-03-05,Men's Senior 89Kg,Joshua Owens,88.25,98,102,105,122,128,132,105,132,237
Oldbury Open Spring 22,2022-03-05,Men's Masters (35-39) 109Kg,Michael Colley,107.35,90,95,100,120,125,-130,100,125,225
Oldbury Open Spring 22,2022-03-05,Men's Senior 89Kg,Daniel Steele,87.9,96,-101,-101,110,114,-117,96,114,210
Oldbury Open Spring 22,2022-03-05,Men's Senior 81Kg,Daniel Baxter,80.9,83,-88,88,108,112,-115,88,112,200
Oldbury Open Spring 22,2022-03-05,Men's Junior Under 20 67Kg,Leo Handy,67,80,85,90,100,105,-110,90,105,195
Oldbury Open Spring 22,2022-03-05,Men's Junior Under 20 81Kg,dylan cheema,79.2,80,85,90,105,-110,-110,90,105,195
Oldbury Open Spring 22,2022-03-05,Men's Senior 81Kg,Sam Vernon,80.4,82,85,-87,100,-106,106,85,106,191
Oldbury Open Spring 22,2022-03-05,Men's Under 23 81Kg,liam Zwetschnikow,77.9,-80,-80,80,95,100,106,80,106,186
Oldbury Open Spring 22,2022-03-05,Men's Under 23 81Kg,Hector Puerta,77.9,80,-85,85,96,101,-111,85,101,186
Oldbury Open Spring 22,2022-03-05,Men's Masters (35-39) 73Kg,Aaron Simkin,71.3,80,85,-90,100,-107,-107,85,100,185
Oldbury Open Spring 22,2022-03-05,Men's Youth Under 17 89Kg,Aaron Cheema,84.95,75,79,82,90,95,-98,82,95,177
Oldbury Open Spring 22,2022-03-05,Men's Junior Under 20 67Kg,Hugo McNeil,65.6,68,72,-75,90,96,-100,72,96,168
Oldbury Open Spring 22,2022-03-05,Women's Senior 64Kg,Bethan Watkins,63.4,67,70,73,86,89,93,73,93,166
Oldbury Open Spring 22,2022-03-05,Women's Senior 64Kg,Megan Dixon,63.7,65,68,-71,85,88,91,68,91,159
Oldbury Open Spring 22,2022-03-05,Men's Junior Under 20 89Kg,William Atkinson,87.85,63,-68,68,87,-92,-92,68,87,155
Oldbury Open Spring 22,2022-03-05,Women's Senior 71Kg,Sarah Kedward,69.4,65,68,-71,83,86,-90,68,86,154
Oldbury Open Spring 22,2022-03-05,Men's Masters (50-54) 96Kg,Davinder Reehal,95.35,63,-66,66,83,-86,-86,66,83,149
Oldbury Open Spring 22,2022-03-05,Women's Senior 76Kg,Arabella Bott,71.5,60,63,-66,78,82,85,63,85,148
Oldbury Open Spring 22,2022-03-05,Men's Junior Under 20 67Kg,Max Yip,65.6,58,-62,62,80,-85,-85,62,80,142
Oldbury Open Spring 22,2022-03-05,Women's Senior 76Kg,Olivia Lennon,73.85,58,62,-66,78,-81,-81,62,78,140
Oldbury Open Spring 22,2022-03-05,Women's Under 23 55Kg,Charlotte Boulanger,54,55,58,60,75,77,79,60,79,139
Oldbury Open Spring 22,2022-03-05,Women's Senior 64Kg,Janine Dovey,62.8,-62,62,-65,-76,-76,77,62,77,139
Oldbury Open Spring 22,2022-03-05,Women's Senior 76Kg,Rosie Semenytsh,73,55,58,-61,78,81,-85,58,81,139
