meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 105 kg,Gregory Bommarito,104.6,120,-125,126,143,-147,150,126,150,276
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 105 kg,Austin Byers,102.8,115,-120,125,136,143,150,125,150,275
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 85 kg,Garrett Geisbush,84.2,118,-123,125,-140,140,146,125,146,271
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 94 kg,John Downey,85.8,120,-125,130,141,-150,-155,130,141,271
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 85 kg,Matthew Sakiyama,83.8,105,110,-115,-155,160,-162,110,160,270
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 85 kg,Marc Sobremesana,83.4,-115,-120,120,141,-146,146,120,146,266
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 85 kg,Andrew Kong,84,120,-125,-125,145,-150,-150,120,145,265
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's+105 kg,Rameses Arceo,131.2,-115,115,-125,-145,-148,148,115,148,263
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 94 kg,Hunter Doliber,92.6,110,114,-119,-143,143,-150,114,143,257
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 105 kg,Dexter Kodat,100.6,110,113,116,130,136,141,116,141,257
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 85 kg,Jeff Rother,84.6,110,-115,115,135,-140,140,115,140,255
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 105 kg,Chris Wong,103.2,103,108,110,143,-148,-148,110,143,253
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 77 kg,Anthony Ho,75.8,105,110,-113,-135,-140,140,110,140,250
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 77 kg,Hyun Cho,76.4,102,-107,107,135,140,-144,107,140,247
Southern Pacific LWC 33 Championships,2015-03-29,{'type': 'unset'},Randall Dupuis,88.8,105,109,112,130,135,-140,112,135,247
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 85 kg,JP Bolwahnn,84.8,-103,103,107,-138,138,-143,107,138,245
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 69 kg,Stephen Ngo,69,103,-108,-110,130,135,141,103,141,244
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 85 kg,Aaron Wolf,83.4,103,-107,-109,135,140,-145,103,140,243
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 77 kg,Grant Kim,76.2,-106,106,-112,125,130,136,106,136,242
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 77 kg,Edwin Tang,77,-104,-106,106,-133,135,-138,106,135,241
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 69 kg,Richard Castro-Banuelos,69,90,95,100,130,135,139,100,139,239
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 85 kg,Vlad Iliescu,83.2,102,-107,-108,137,-145,-145,102,137,239
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 105 kg,Steven Leonette,102.6,105,-109,109,129,-136,-136,109,129,238
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 85 kg,Jesse Malcomb,85,108,-112,-113,128,-133,-133,108,128,236
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 94 kg,Nick Holland,86,95,100,103,122,132,-140,103,132,235
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 105 kg,Dustan Moseley,98.8,95,-102,102,125,133,-138,102,133,235
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 69 kg,Jeremy Reguerin,68,100,104,-108,120,125,129,104,129,233
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 85 kg,Ryan Byrnes,80.8,105,-109,-110,-125,-128,128,105,128,233
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 77 kg,Aaron Gatdula,74.6,100,105,-110,125,-130,-133,105,125,230
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 62 kg,Chris Luciano,61.8,-90,-90,90,125,133,-135,90,133,223
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 77 kg,Wayne McElmoyl,75.6,95,-98,101,-120,120,-131,101,120,221
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 77 kg,Ariel Sandoval,75.6,90,95,-98,121,-123,125,95,125,220
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 77 kg,Ming Loo,76,92,96,99,115,120,-123,99,120,219
Southern Pacific LWC 33 Championships,2015-03-29,Open Men's 69 kg,David Mak,68.2,98,-100,-100,-115,-118,118,98,118,216
