meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's +109kg,Zach Zellars,122.25,140,144,-150,170,0,0,144,170,314
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Men's Masters (40-44) 109kg,Joshua Holden,107.65,120,125,130,155,160,-165,130,160,290
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 96kg,Marcus Leydecker,95.2,120,125,130,155,-160,-166,130,155,285
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 102kg,Grant Reed,98.45,115,-120,-120,145,150,155,115,155,270
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 102kg,Daniel Hunsucker,97.05,107,110,113,132,136,140,113,140,253
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 89kg,dorion nora,87.86,106,110,-114,140,-145,-145,110,140,250
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 102kg,Lucas Brinkmeyer,98.85,102,105,108,135,142,-148,108,142,250
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 89kg,Christopher Kim,88.35,95,101,-105,127,-132,132,101,132,233
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Junior Men's 81kg,Andrew Tyree,78.9,92,94,-100,120,-122,-122,94,120,214
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Men's Masters (40-44) 89kg,Cristian Tobar,86.5,80,85,90,110,115,120,90,120,210
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 81kg,Enrique Carrillo,73.55,87,-90,90,110,114,116,90,116,206
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Men's 16-17 Age Group 67kg,Elijah Rumfelt,66.95,85,88,91,109,112,-115,91,112,203
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 81kg,Nathan Goynes,80.25,87,90,-92,110,-115,-115,90,110,200
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 61kg,Elijah Alvarado,60.5,83,86,-90,103,107,111,86,111,197
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Men's Masters (35-39) 109kg,Sebastian Olave,106.55,80,-85,86,110,-115,-115,86,110,196
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Junior Women's 76kg,Alyssa Ballard,75.55,81,-84,-85,108,111,-115,81,111,192
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 89kg,Solomon M Abrego,86.5,75,78,81,105,108,111,81,111,192
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 89kg,Alexander Soukis,85.35,70,-75,75,89,95,100,75,100,175
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 89kg,Devon Sizemore,81.25,70,72,74,90,95,99,74,99,173
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Junior Men's 96kg,Caleb Gordon,93.3,-73,75,78,88,92,95,78,95,173
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's 16-17 Age Group 64kg,Anna Sierra,61.9,-68,68,71,90,95,100,71,100,171
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Women's 71kg,Hannah Winslett,69.85,75,80,-84,90,-95,-95,80,90,170
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Men's Masters (35-39) 67kg,Vincent Garcia,66.35,66,69,-72,92,95,98,69,98,167
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 73kg,Campbell Coligan,68.2,69,-72,-72,85,89,91,69,91,160
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's Masters (35-39) 76kg,Kimberly Lim,73.75,67,70,-72,86,90,-94,70,90,160
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Women's 64kg,Angela Henderson,63.45,64,67,70,80,83,86,70,86,156
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Women's 81kg,Crystal waters,80.55,-65,65,67,82,86,-89,67,86,153
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Women's 71kg,Jordyn Miller,70.7,65,67,-69,78,80,-82,67,80,147
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's Masters (35-39) 81kg,Maria Austreng,80.55,58,-61,62,80,-83,84,62,84,146
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Men's 14-15 Age Group 81kg,Anthony Solano,78,55,60,-63,75,80,85,60,85,145
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 81kg,Eric Taylor,78.35,-55,55,60,75,80,83,60,83,143
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's 16-17 Age Group 71kg,Alma Lopez,65.3,55,58,-61,73,77,82,58,82,140
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Women's 71kg,Juliet Aguilar,65.15,-56,56,59,70,75,77,59,77,136
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Women's 49kg,Alexis Figurski,48.55,58,-61,-61,70,75,77,58,77,135
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Women's 71kg,Jessica Mullen,70.05,59,-62,-62,70,74,76,59,76,135
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Women's 71kg,Danielle Sheriff,69.85,53,56,58,65,70,74,58,74,132
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Men's Masters (45-49) 73kg,Eser Unlu,72.75,50,53,56,70,75,-80,56,75,131
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's Masters (35-39) 71kg,Jennett Perez,70.75,56,-59,-59,72,-74,-75,56,72,128
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's Masters (40-44) 76kg,Ashley Richardson,73,50,51,53,60,63,66,53,66,119
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's 14-15 Age Group 55kg,Rilie Perea,50.95,-50,50,52,65,-67,-67,52,65,117
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Men's 102kg,Christopher Fusselman,100.5,-90,-92,-92,108,112,116,0,116,116
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Women's 55kg,TIANNA PRINCE,53.25,43,46,-49,53,56,59,46,59,105
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's Masters (40-44) 59kg,Mindy Lewis,58.15,36,39,-42,50,53,56,39,56,95
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's 14-15 Age Group 59kg,Bella Torres,58.35,36,38,41,47,50,53,41,53,94
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Men's 13 Under Age Group 55kg,Decker Fontenot,52.85,35,38,-40,45,48,50,38,50,88
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-22,Open Women's 76kg,Jenna Josephson,74.55,34,36,38,43,46,48,38,48,86
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Open Women's 64kg,Abbigail Solis,62.6,34,-36,-36,47,-50,50,34,50,84
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's 14-15 Age Group 59kg,Aeydalyna  Garcia,58.8,30,33,35,41,44,-48,35,44,79
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's 14-15 Age Group 64kg,Magdaline Barrow,63.8,-35,35,-38,40,43,-47,35,43,78
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's Masters (35-39) 87kg,Kimberly Flores,85.85,69,-72,-72,-90,-90,-90,69,0,69
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's 13 Under Age Group +64kg,Alexxandra Ballard,65.2,27,30,-33,35,-38,38,30,38,68
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-22,Women's Masters (40-44) 71kg,Giana Hesterberg,67.95,21,23,-26,31,33,-36,23,33,56
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Women's 13 Under Age Group 49kg,Arianni Rodriguez,48.75,17,19,21,24,26,-29,21,26,47
AUSTIN CITY WEIGHTLIFTING THROWDOWN | FitFest,2022-09-03,Men's 13 Under Age Group 49kg,Brandon Paulk,46.1,15,17,18,20,23,25,18,25,43
