meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 85 kg,Thomas Sullivan,85,0,0,0,150,0,0,0,150,150
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 94 kg,Javier Castillo,86,0,0,0,150,0,0,0,150,150
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's+105 kg,Joseph Rzeszutek,114.8,0,0,0,150,0,0,0,150,150
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 94 kg,Stephen Zito,90.3,0,0,0,140,0,0,0,140,140
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's+105 kg,Gary Valentine,115.4,0,0,0,135,0,0,0,135,135
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 94 kg,Derek Pontier,92.8,0,0,0,133,0,0,0,133,133
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 85 kg,William Stearns,84.8,0,0,0,131,0,0,0,131,131
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 77 kg,Joshua Straiton,74.6,0,0,0,128,0,0,0,128,128
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 85 kg,Anthony Altobell,78.6,0,0,0,127,0,0,0,127,127
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 77 kg,Matt Scott,76.9,0,0,0,125,0,0,0,125,125
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's+105 kg,Travis Partington,127.1,0,0,0,125,0,0,0,125,125
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 62 kg,Amaurys Almanzar,62,0,0,0,122,0,0,0,122,122
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 85 kg,Jason Poulos,82.3,0,0,0,120,0,0,0,120,120
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 85 kg,Mark DiSanto,77.4,0,0,0,120,0,0,0,120,120
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 85 kg,Daniel Reynolds,83.8,0,0,0,120,0,0,0,120,120
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 77 kg,Matthew McLaughlin,73.1,0,0,0,113,0,0,0,113,113
Essex Middle School Open/Jr. and  Vermont State Championships,2012-03-25,Open Men's 94 kg,Jonathan Farwell,92.6,0,0,0,112,0,0,0,112,112
