event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,U20 Women 64,QUERE Noémie,61.6,51.0,54.0,56.0,58.0,61.0,-64.0,56.0,61.0,117.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,U20 Women 71,QUERE Eloïse,66.2,54.0,57.0,60.0,63.0,66.0,69.0,60.0,69.0,129.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,U20 Women 76,CAILLE Titia,73.4,44.0,48.0,51.0,-52.0,52.0,56.0,51.0,56.0,107.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,U20 Women 81,SCOARNEC Ambre,79.4,50.0,55.0,59.0,60.0,65.0,70.0,59.0,70.0,129.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 55,QUERE Romane,53.2,35.0,38.0,40.0,43.0,47.0,51.0,40.0,51.0,91.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 55,MARAMOTTI Anna,51.6,33.0,36.0,-42.0,48.0,51.0,54.0,36.0,54.0,90.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 59,CRENN Aurore,57.8,48.0,-52.0,-52.0,58.0,61.0,-64.0,48.0,61.0,109.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 59,GARRO Maud,58.6,45.0,48.0,-50.0,53.0,56.0,60.0,48.0,60.0,108.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 59,TRIMECH Nourhene,58.8,37.0,41.0,45.0,53.0,57.0,-61.0,45.0,57.0,102.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 64,FERREC Énora,62.7,60.0,63.0,-65.0,73.0,75.0,-77.0,63.0,75.0,138.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 64,GARRIC Juliette,62.1,50.0,54.0,59.0,65.0,70.0,-74.0,59.0,70.0,129.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 64,WIPLIER Manon,61.3,48.0,-52.0,-52.0,60.0,-65.0,65.0,48.0,65.0,113.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 64,KERVIEL Morgane,59.1,31.0,33.0,-35.0,45.0,-48.0,48.0,33.0,48.0,81.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 71,LAMIRAL Valentine,69.7,43.0,46.0,49.0,60.0,63.0,-66.0,49.0,63.0,112.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women 76,GUÉDON Jeanne,73.9,46.0,50.0,-54.0,67.0,71.0,75.0,50.0,75.0,125.0
BRE - REG 1 - Lorient - 1J Chpt Bretagne (CAL/CBH/CHMP/RBCW),2023-10-28,SEN Women >87,DORVEAUX Chloé,93.6,45.0,-50.0,52.0,55.0,61.0,-64.0,52.0,61.0,113.0
