event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
3rd INTERNATIONAL FAJR CUP,2018-03-06,62 kg Men,JOHNSON Derrick Rshone,61.95,-117,-117,117,133,-145,-145,117,133,250
3rd INTERNATIONAL FAJR CUP,2018-03-06,62 kg Men,VLADISAVLJEV Stevan,61.95,101,105,107,125,130,135,107,135,242
3rd INTERNATIONAL FAJR CUP,2018-03-06,62 kg Men,NAKISAEI Mohsen,61.80,91,98,105,121,128,-132,105,128,233
3rd INTERNATIONAL FAJR CUP,2018-03-06,62 kg Men,ALMOHAMMAD ALJASSEM Jaber,61.00,90,97,-105,120,127,-130,97,127,224
3rd INTERNATIONAL FAJR CUP,2018-03-06,62 kg Men,KRNAJAC Jovan,60.00,80,87,-92,100,105,-110,87,105,192
3rd INTERNATIONAL FAJR CUP,2018-03-06,62 kg Men,ISLAM Md Nayemul,60.90,-100,-102,-102,0,0,0,0,0,0
3rd INTERNATIONAL FAJR CUP,2018-03-06,62 kg Men,OYEV Sunatullo,61.60,101,106,108,121,127,-131,0,0,0
3rd INTERNATIONAL FAJR CUP,2018-03-06,69 kg Men,CHKHEIDZE Goga,68.70,125,130,-133,160,165,170,130,170,300
3rd INTERNATIONAL FAJR CUP,2018-03-06,69 kg Men,ALHAYEK Mohamad,68.05,107,-112,-114,-135,140,-145,107,140,247
3rd INTERNATIONAL FAJR CUP,2018-03-06,69 kg Men,MD SALMAN Md,64.10,100,-105,-105,120,128,130,100,130,230
3rd INTERNATIONAL FAJR CUP,2018-03-06,69 kg Men,NADRIN Ezzeddin,68.00,100,-106,-106,125,129,132,100,132,232
3rd INTERNATIONAL FAJR CUP,2018-03-06,69 kg Men,NAZARI Zubair,68.35,85,-92,92,110,-111,-120,92,110,202
3rd INTERNATIONAL FAJR CUP,2018-03-06,77 kg Men,ALIPOUR Mohammad Amin,76.10,127,135,0,160,170,-174,135,170,305
3rd INTERNATIONAL FAJR CUP,2018-03-06,77 kg Men,MOHAMMAD ALJASSEM Mohammad Saed,76.00,-120,120,-130,152,158,-165,120,158,278
3rd INTERNATIONAL FAJR CUP,2018-03-06,77 kg Men,ROY Manoranjan,75.15,110,113,-116,135,140,-147,113,140,253
3rd INTERNATIONAL FAJR CUP,2018-03-06,77 kg Men,ADHIKARI Kamal Bahadur,75.60,105,-111,111,147,153,-161,111,153,264
3rd INTERNATIONAL FAJR CUP,2018-03-06,85 kg Men,MAKVANDI Ali,84.00,145,-152,152,185,195,-201,152,195,347
3rd INTERNATIONAL FAJR CUP,2018-03-06,85 kg Men,SHRESTHA Surendra,83.00,-90,90,-100,115,-125,127,90,127,217
3rd INTERNATIONAL FAJR CUP,2018-03-06,85 kg Men,SANGOV Asomuddin,83.00,110,120,-131,140,0,0,0,0,0
3rd INTERNATIONAL FAJR CUP,2018-03-06,94 kg Men,MOUSAVIJARAHI Seyedayoob,93.00,160,165,170,200,210,-216,170,210,380
3rd INTERNATIONAL FAJR CUP,2018-03-06,94 kg Men,OURAMEH Rahman,94.00,146,155,162,195,-206,206,162,206,368
3rd INTERNATIONAL FAJR CUP,2018-03-06,94 kg Men,HASAN Ali,87.00,70,80,85,90,100,110,85,110,195
3rd INTERNATIONAL FAJR CUP,2018-03-06,105 kg Men,NASIRI Reza,97.10,150,-156,156,182,191,-204,156,191,347
3rd INTERNATIONAL FAJR CUP,2018-03-06,105 kg Men,GHORESHI Seyed Jalal,102.00,-145,145,-152,190,-203,-203,145,190,335
3rd INTERNATIONAL FAJR CUP,2018-03-06,105 kg Men,RAZIQI Mirwais,94.10,100,-110,-110,130,-143,-145,100,130,230
3rd INTERNATIONAL FAJR CUP,2018-03-06,+105 kg Men,CHKHEIDZE Giorgi,129.00,173,180,-183,213,220,-223,180,220,400
3rd INTERNATIONAL FAJR CUP,2018-03-06,+105 kg Men,RAHBARINEJAD Milad,106.00,155,165,170,195,-212,212,170,212,382
3rd INTERNATIONAL FAJR CUP,2018-03-06,+105 kg Men,GURUNG Pukar,147.00,120,126,-131,140,-145,-145,126,140,266
3rd INTERNATIONAL FAJR CUP,2018-03-06,+105 kg Men,TURKMAN Fazal Karim,143.00,125,130,133,160,170,0,0,0,0
