event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Senior 71Kg,Ane Westrheim,71.0,62,66,72,85,90,94,72,94,166
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Senior 71Kg,Asta Rønning Fjærli,71.0,60,-63,-63,75,77,79,60,79,139
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Senior 64Kg,Celine Mariell Båtnes,64.0,65,-69,69,90,94,98,69,98,167
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Senior 64Kg,Iselin Hatlenes,64.0,64,67,-69,76,-79,80,67,80,147
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Senior 71Kg,Karoline Merli,71.0,60,63,-66,73,77,-80,63,77,140
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Masters (35-39) 55Kg,Kine Krøs,55.0,53,-57,57,73,76,78,57,78,135
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Youth Under 17 76Kg,Mariell Endestad Hellevang,76.0,63,66,-68,80,83,-86,66,83,149
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Senior 64Kg,Ragnhild Haug Lillegård,64.0,67,70,-73,87,90,-92,70,90,160
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Senior 55Kg,Sarah Hovden Øvsthus,55.0,73,75,-77,-92,-92,-92,75,-92,-17
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Junior Under 20 76Kg,Tine Rognaldsen Pedersen,76.0,-83,83,-85,106,-109,-109,83,106,189
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Junior Under 20 87Kg,Trine Endestad Hellevang,87.0,72,75,-78,90,93,96,75,96,171
Spydeberg Atletene Norgesmesterskap Lag,2023-12-09,Women's Junior Under 20 71Kg,Tuva Loodtz,71.0,65,-68,-68,-90,90,93,65,93,158
