event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Stockport Spartans Open II,2023-5-13,Women's Senior 49Kg,Sophie Biles,48.4,35,37,39,47,50,53,39,53,92
Stockport Spartans Open II,2023-5-13,Women's Senior 55Kg,Natalia Malecka,54.8,-45,45,48,50,54,-57,48,54,102
Stockport Spartans Open II,2023-5-13,Women's Senior 55Kg,Liz Parkes,55,37,39,-41,47,-50,51,39,51,90
Stockport Spartans Open II,2023-5-13,Women's Senior 59Kg,Dawn Williams,55.4,40,-42,42,55,-58,-58,42,55,97
Stockport Spartans Open II,2023-5-13,Women's Senior 64Kg,Cici Spahr,61.9,50,58,62,75,80,84,62,84,146
Stockport Spartans Open II,2023-5-13,Women's Senior 64Kg,Paolo Frankie,64,54,-57,-60,70,73,75,54,75,129
Stockport Spartans Open II,2023-5-13,Women's Senior 64Kg,Lily Pilkington,63.8,-52,52,56,68,71,-75,56,71,127
Stockport Spartans Open II,2023-5-13,Women's Senior 64Kg,Lizzie Liddle,61,35,38,-41,50,53,-56,38,53,91
Stockport Spartans Open II,2023-5-13,Women's Senior 64Kg,Alex Yarnell,63.8,30,33,-36,42,46,-50,33,46,79
Stockport Spartans Open II,2023-5-13,Women's Senior 71Kg,Dominika Powojska,70.4,58,61,-64,-78,78,81,61,81,142
Stockport Spartans Open II,2023-5-13,Women's Senior 71Kg,Serrinah Drammeh,68.7,53,62,-65,74,-77,78,62,78,140
Stockport Spartans Open II,2023-5-13,Women's Senior 71Kg,Laura Pearson,69.1,45,48,51,69,73,75,51,75,126
Stockport Spartans Open II,2023-5-13,Women's Senior 71Kg,Jo Cogan,64.9,45,48,51,62,65,70,51,70,121
Stockport Spartans Open II,2023-5-13,Women's Senior 71Kg,Daisy Kenworthy,69,43,47,-50,55,59,62,47,62,109
Stockport Spartans Open II,2023-5-13,Women's Senior 71Kg,Morgan Howe,71,30,32,35,35,37,41,35,41,76
Stockport Spartans Open II,2023-5-13,Women's Senior 76Kg,Grace Thomas,75,-66,66,70,90,95,-100,70,95,165
Stockport Spartans Open II,2023-5-13,Women's Senior +87Kg,Sam Drammeh,134,58,62,-65,83,-86,-88,62,83,145
Stockport Spartans Open II,2023-5-13,Women's Senior +87Kg,Natalie Lowe,94,25,27,29,35,38,40,29,40,69
Stockport Spartans Open II,2023-5-13,Men's Senior 67Kg,Julian Djopo,62,55,59,63,70,75,80,63,80,143
Stockport Spartans Open II,2023-5-13,Men's Senior 73Kg,Chris Lunt,72.9,78,81,85,105,109,115,85,115,200
Stockport Spartans Open II,2023-5-13,Men's Senior 73Kg,Hari Kandiah,72.1,79,83,-86,105,110,-117,83,110,193
Stockport Spartans Open II,2023-5-13,Men's Senior 81Kg,Joe Cowen,81,120,124,-128,150,154,-157,124,154,278
Stockport Spartans Open II,2023-5-13,Men's Senior 81Kg,Ryan Sweetman,81,116,121,125,145,-150,150,125,150,275
Stockport Spartans Open II,2023-5-13,Men's Senior 81Kg,Scott Mills,80.7,93,-97,100,105,110,-116,100,110,210
