event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Weightlifting Wonderland,2023-12-16,Men's Senior 102Kg,Merunas Astrauskas,101.1,127,132,136,145,152,155,136,155,291
Weightlifting Wonderland,2023-12-16,Men's Senior 89Kg,William Davies,87.3,85,-93,-94,110,116,120,85,120,205
Weightlifting Wonderland,2023-12-16,Men's Masters (40-44) 73Kg,Robert Oneill,72.4,85,88,-91,115,-120,-120,88,115,203
Weightlifting Wonderland,2023-12-16,Men's Masters (45-49) 89Kg,Andrew MacIntyre,84.9,69,72,75,99,102,105,75,105,180
Weightlifting Wonderland,2023-12-16,Men's Masters (50-54) 89Kg,Neil Mcmurchy ,84.7,68,-71,-71,87,91,-96,68,91,159
Weightlifting Wonderland,2023-12-16,Men's Masters (50-54) 61Kg,Colin Selfridge,59.21,-64,64,67,78,82,-85,67,82,149
Weightlifting Wonderland,2023-12-16,Women's Masters (40-44) 81Kg,Emma Wilkins,76.7,-64,64,-66,68,71,75,64,75,139
Weightlifting Wonderland,2023-12-16,Women's Under 23 71Kg,Alex Easson,70.2,49,52,55,62,65,68,55,68,123
Weightlifting Wonderland,2023-12-16,Women's Masters (65-69) 76Kg,claire cameron,74.4,31,32,-33,39,-41,41,32,41,73
Weightlifting Wonderland,2023-12-16,Women's Youth Under 17 64Kg,Emily Rutherford,60,-20,20,22,30,35,40,22,40,62
Weightlifting Wonderland,2023-12-16,Women's Masters (65-69) 71Kg,Marian Keogh,67.5,20,22,-23,-25,26,-28,22,26,48
