meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Dayton Barbell Club Summer Open,2018-06-23,Open Men's+105 kg,Douglas Piper,112.7,120,125,130,150,157,-160,130,157,287
Dayton Barbell Club Summer Open,2018-06-23,Open Men's+105 kg,Logan Conkey,112.9,104,108,-112,145,153,-157,108,153,261
Dayton Barbell Club Summer Open,2018-06-23,Open Men's 94 kg,Sean O'Day,93.5,107,112,-115,134,138,142,112,142,254
Dayton Barbell Club Summer Open,2018-06-23,Open Men's+105 kg,Kevin Holly,133.8,102,-105,107,132,-136,138,107,138,245
Dayton Barbell Club Summer Open,2018-06-23,Open Men's 105 kg,Ryan Davis,97.7,-107,107,-112,-125,-130,130,107,130,237
Dayton Barbell Club Summer Open,2018-06-23,Open Men's 85 kg,jesse gross,80.7,90,95,100,118,-125,-130,100,118,218
Dayton Barbell Club Summer Open,2018-06-23,Open Men's 94 kg,Neal Edgren,85.3,80,85,-90,110,115,-120,85,115,200
Dayton Barbell Club Summer Open,2018-06-23,Open Women's +90 kg,Katlin Kallmeyer,113.2,73,77,-81,99,104,109,77,109,186
Dayton Barbell Club Summer Open,2018-06-23,Open Men's 77 kg,Mark Mercier,76.1,72,77,82,90,-96,96,82,96,178
Dayton Barbell Club Summer Open,2018-06-23,Open Women's +90 kg,Emily Bingley,120.7,70,-75,77,90,95,100,77,100,177
Dayton Barbell Club Summer Open,2018-06-23,Open Women's 69 kg,Rachel Brindley,68.6,68,71,74,78,84,90,74,90,164
Dayton Barbell Club Summer Open,2018-06-23,Open Women's 90 kg,Frances Houck,79.1,-63,-66,66,82,-86,-87,66,82,148
Dayton Barbell Club Summer Open,2018-06-23,Women's Masters (45-49) +90 kg,Tamara Burnett Penny,111.2,54,-57,57,70,74,78,57,78,135
Dayton Barbell Club Summer Open,2018-06-23,Open Women's 90 kg,Monica Lewe,81.8,49,52,-58,62,67,73,52,73,125
Dayton Barbell Club Summer Open,2018-06-23,Open Women's 75 kg,Susan Rymut,75,51,53,55,63,-66,66,55,66,121
Dayton Barbell Club Summer Open,2018-06-23,Women's 16-17 Age Group 58 kg,Kiarra Matos,57.8,40,44,47,61,65,68,47,68,115
Dayton Barbell Club Summer Open,2018-06-23,Open Women's 53 kg,Elizabeth Miller,50.9,48,51,-54,57,-61,-62,51,57,108
Dayton Barbell Club Summer Open,2018-06-23,Open Women's 69 kg,Stephanie Brown,66.8,38,42,-45,52,56,-60,42,56,98
Dayton Barbell Club Summer Open,2018-06-23,Women's Masters (35-39) 75 kg,Maria Matos,75,30,35,40,40,50,58,40,58,98
Dayton Barbell Club Summer Open,2018-06-23,Open Women's 90 kg,Megan Chambers,79.5,25,30,-35,30,35,40,30,40,70
