meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 94 kg,Nathan Holiday,85.5,0,0,0,136,0,0,0,136,136
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 85 kg,Jason Longfellow,82.84,0,0,0,130,0,0,0,130,130
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 85 kg,Jason Chan,85,0,0,0,120,0,0,0,120,120
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's+105 kg,DAVID TULLAR,136.76,0,0,0,120,0,0,0,120,120
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 77 kg,Simon Kuang,76.44,0,0,0,110,0,0,0,110,110
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 94 kg,Michael Devaney,90.32,0,0,0,110,0,0,0,110,110
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 77 kg,Bert Sanchez,73.42,0,0,0,108,0,0,0,108,108
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 77 kg,Kenny Kanenbley,69.2,0,0,0,105,0,0,0,105,105
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 105 kg,Albert Gonzales,94.54,0,0,0,105,0,0,0,105,105
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 94 kg,Michael Kokiatkulkij,86.46,0,0,0,95,0,0,0,95,95
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 77 kg,Stephen Au,70.6,0,0,0,92,0,0,0,92,92
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 77 kg,Jared Cohen,70.22,0,0,0,85,0,0,0,85,85
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 85 kg,Mario Quintana,78.28,0,0,0,85,0,0,0,85,85
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's+105 kg,Christopher Pena,123.1,0,0,0,80,0,0,0,80,80
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 62 kg,Manuel Wong,57.46,0,0,0,77,0,0,0,77,77
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 85 kg,Juan villegas Villegas,78.56,0,0,0,75,0,0,0,75,75
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Women's 69 kg,Kristen Garcia,68.98,0,0,0,73,0,0,0,73,73
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Women's 63 kg,Christie Hennon,59.2,0,0,0,71,0,0,0,71,71
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Women's 75 kg,Alexandrea Vasquez,69.16,0,0,0,68,0,0,0,68,68
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Women's 58 kg,Paige Stone,56.9,0,0,0,66,0,0,0,66,66
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Women's 69 kg,Rebecca Gustafson,65.54,0,0,0,62,0,0,0,62,62
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Women's +75 Kg,Melissa Depina,85.62,0,0,0,60,0,0,0,60,60
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 69 kg,Vincent Porras,67.46,0,0,0,60,0,0,0,60,60
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 94 kg,Alexander Maupin,86.58,0,0,0,60,0,0,0,60,60
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 105 kg,Alex Orozco,97.88,0,0,0,60,0,0,0,60,60
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 69 kg,John Velasquez,62.74,0,0,0,55,0,0,0,55,55
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Women's 75 kg,Monica Felix,69.76,0,0,0,50,0,0,0,50,50
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Women's 53 kg,Hannah Johnson,51.92,0,0,0,47,0,0,0,47,47
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 94 kg,Mike Varanelli,85.34,0,0,0,45,0,0,0,45,45
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Women's 75 kg,Tabitha Ledford,69.98,0,0,0,40,0,0,0,40,40
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 85 kg,Will Werner,84.02,0,0,0,0,0,0,0,0,0
3rd Annual Chikara Sport St. Patty;s Day Meet,2012-03-10,Open Men's 105 kg,Darius Constancio,94.5,0,0,0,0,0,0,0,0,0
