Capitol City Weightlifting Championship,US,545.csv
Redline Athletics Turkey Classic,US,223.csv
2021 Oklahoma Winter Open,US,4817.csv
Capital District Open,US,4803.csv
Lone Star Youth & Junior Winter Developmental Meet,US,237.csv
Buford Open,US,551.csv
Last Chance Jr. Qualifier 2013,US,579.csv
The Spud Thud,US,3822.csv
MVW Camp Comp,US,4195.csv
2017 Naples Winter Open,US,2282.csv
HWC Qualifier,US,1953.csv
Last Chance Qualifier,US,1947.csv
Future Champions,US,3188.csv
Battle of Normandy (D-Day) 2017,US,2296.csv
2nd Annual Craft Winter Lift Off,US,3836.csv
2019 AZ Weightlifting Masters State Championships,US,4181.csv
Florida Pan Handle Classic,US,586.csv
Hoisting With Heart,US,1012.csv
HBC Closed Meet,US,3605.csv
BARBELLS N SPRINKLES SPRING OPEN,US,5274.csv
2018 Oahu Open Weightlifting Championships,US,3163.csv
BBC Masters Qualifier Invitational,US,1774.csv
NRG Weightlifting Championship,US,1760.csv
Thanksgiving Meet,US,2269.csv
2018 Industrial Strength Classic,US,3177.csv
2020 OSS Fall Novice/Youth Invitational,US,4618.csv
Alpha Winter Classic,US,3611.csv
Tradition Barbell Open II,US,5260.csv
Squatmore-Fortius Challenge,US,1006.csv
Coca CrossFit Olympic Lifting Meet,US,592.csv
State Championships,US,4156.csv
Bowling Green Barbell Winter Meet,US,3639.csv
Occam Back Alley Rumble,US,2527.csv
East Coast Gold Spring Fling,US,5248.csv
Black Box Classic,US,1990.csv
EAW Invitational,US,1748.csv
Last Chance Qualifier,US,2241.csv
Prairie State In-House Fall Showdown,US,4630.csv
Intrepid Winter Open,US,2255.csv
The 2020 Ronnie Coleman Weightlifting Classic,US,4624.csv
ROC CITY OPEN,US,1984.csv
Independence Open,US,4142.csv
Barbells and Brews - Blue Moon,US,2533.csv
607 Open,US,747.csv
2017 War of Westchester,US,2902.csv
CSUF Veterans Day Open,US,2916.csv
Larry Mintz Memorial,US,753.csv
2014 Utah Invitational,US,1589.csv
The Weightlifting League #8,US,2080.csv
Phoenix Weightlifting Open,US,4397.csv
2022 Wilmington Open,US,5089.csv
EMS December Warm-up Meet,US,4383.csv
Utah State Weightlifting Championships,US,2094.csv
Fortius Meet,US,1576.csv
Summer Slang 2018,US,3361.csv
Rise of the Phoenix (NUQ),US,5076.csv
Do or Die,US,2719.csv
DCW AO2 Qualifier,US,3407.csv
2020 Alaska State Championships,US,4368.csv
Force Barbell Open,US,1210.csv
2013 Frederick Open,US,784.csv
Twin City Masters and Invitational,US,948.csv
Pittsburgh Open,US,790.csv
Youth Qualifier,US,1204.csv
SoCal Winter Classic 2021,US,5062.csv
COLORADO CLASSIC,US,3413.csv
2018 Houses' Gym Last Chance Qualifier,US,3375.csv
AO Last Chance Qualifier,US,1562.csv
Charles Darwin Birthday Weightlifting Championships,US,4432.csv
Barbells and Brews 2016,US,2043.csv
Colorado State & Open Competition,US,960.csv
EAW SummerLift,US,2725.csv
Conqueror Weightlifting Developmental Meet,US,4354.csv
Kilo Classic,US,2731.csv
2020 Illumine Winter Open,US,4340.csv
Waxman's Gym Development Meet #3,US,974.csv
Conquer All Chaos Youth Qualifier,US,1238.csv
Spud Thud,US,4426.csv
Oklahoma Youth Nats Qual Invitational,US,3349.csv
VBW Summer Open,US,2057.csv
King Of Coffee,US,155.csv
2013 Ironmind WL Championships,US,633.csv
2017 Elmira Fall Open,US,2876.csv
Enderton Strength's 2017 Beat the Heat USAW Competition & Qualifier,US,2862.csv
Caffeine and Kilos Invitational 2013,US,627.csv
Annual Mushtok Potato Open,US,141.csv
"Friday Night, Under the Lights",US,169.csv
2020 Open,US,4585.csv
OK State Tune Up/Newcomer Meet,US,2692.csv
Pittsburg Summer Open,US,97.csv
DC Weightlifting/Black & Red Barbell Inter-squad Meet,US,83.csv
Test a meet,US,2686.csv
Out With A Bang,US,3598.csv
95East Barbell Summer Classic,US,4591.csv
The Phil Andrews Invitational,US,1402.csv
Chicago Strength Spring Open,US,196.csv
Colorado Youth Weightlifting Championships,US,3215.csv
The Black Box Open,US,3573.csv
2022 East Carolina Club Weightlifting Open (NUQ),US,5102.csv
Bridgeport Barbell Club Classic,US,68.csv
Visalia Lift Off,US,1364.csv
2013 Hangle Barbell Open,US,828.csv
CTS Wine Country Classic,US,1370.csv
2019 Midwest Open,US,4208.csv
2018 OSS WLC Invitational,US,3567.csv
2017 Weightlifting Daze,US,2679.csv
Nation Barbell Last Chance Qualifier,US,5116.csv
Donny Shankle Weightlifting Invitational,US,3201.csv
Reach Your Peak Classic,US,182.csv
The Gainesville Open,US,1416.csv
Feel The Steel IV,US,2137.csv
HBC Closed,US,3229.csv
Poliquin Group Spring Open,US,6.csv
Oregon State Championships,US,4546.csv
Gold Cup Challenge,US,54.csv
Bay State Games,US,1358.csv
Altamonte Open,US,814.csv
Kilodelphia Spring Open,US,2889.csv
Pursuit Weightlifting Open,US,4220.csv
"BGB Suns Out, Guns Out",US,2651.csv
Barbell Collective Open Series ONE,US,4234.csv
5th Annual College Station Weightlifting Classic,US,2645.csv
Westchester Toss Daddy Open at Athletes Warehouse,US,40.csv
Athletic Lab Weightlifting Open,US,800.csv
Eat Wings Raise Funds Throwdown,US,2123.csv
Team Florida Northeast Crossfit 904 Meet in the Heat,US,4552.csv
Texas Barbell Spring Classic,US,431.csv
Freak Show Open,US,357.csv
2022 Iron Born Open,US,4963.csv
Money in the Bank,US,4977.csv
Youth Qualifier,US,343.csv
HDAC May Meet,US,425.csv
Baton Rouge Masters,US,1199.csv
2019 East Coast Gold Lift Off,US,3956.csv
2017 Kilauea CrossFit Weightlifting Open,US,2490.csv
PRIOR LAKE HIGH SCHOOL MEET,US,4787.csv
Brooklyn Barbell Open,US,1827.csv
The Lab Gym: Last Chance Qualifier,US,1833.csv
Texas Collegiate Invitational,US,4793.csv
B-N Barbell Open,US,3942.csv
Blaze High School Open,US,2484.csv
Black Box Open,US,419.csv
University Nationals Qualifier,US,1166.csv
The Get Lit to Stay Lit Open,US,5300.csv
Samantha Allyn Silverman Memorial Meet,US,3771.csv
2021 Kentucky State Championship,US,4778.csv
Zwei Burgen-Turnier,US,3017.csv
BSBC 3rd Annual Winter Open,US,2309.csv
North Coast League Meet 3,US,394.csv
Empire Strength Fall Open,US,1600.csv
Junior Pan American Championships,US,1614.csv
North Coast League Youth,US,380.csv
2018 Pittsburgh Open Weightlifting Championships,US,3003.csv
Mustang Last Chance Weightlifting Meet,US,5314.csv
Qualifier for Under 25 Nationals,US,3765.csv
RWL Developmental Meet,US,1172.csv
Susan Williams Memeorial,US,3995.csv
The Metropolitan Classic,US,2453.csv
Folsom Open,US,4022.csv
Kindred Weightlifting Meet,US,4744.csv
Southern Open,US,2335.csv
Zion's Iron Open,US,4750.csv
Monmouth Championships,US,4988.csv
The Groove Classic,US,2321.csv
