event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Geelong Open & Geelong Youth GP1,2017-02-05,female,Cassandra Gauci,57.48,30,33,-35,38,40,42,33,42,75,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,female,Georgia Verry,57.30,26,28,-30,36,38,40,28,40,68,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,female,Toni Lane,59.70,52,-55,-57,72,75,-77,52,75,127,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,female,Miranda Hoare,65.36,60,-63,64,73,76,79,64,79,143,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,female,Elaine Janes,64.90,20,21,22,27,-29,29,22,29,51,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,female,Margaret Webb,81.00,49,51,53,52,54,57,53,57,110,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,female,Anastasia Mifsud,97.00,26,29,-31,30,32,34,29,34,63,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,male,Benjamin Silva,67.98,71,75,-78,92,97,101,75,101,176,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,male,Alexander Mifsud,75.65,-45,45,48,50,53,55,48,55,103,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,male,Ellery Bakker,81.60,65,70,73,85,90,-96,73,90,163,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,male,Mark Cannell,81.60,-45,48,55,80,85,92,55,92,147,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,male,David Oswell,84.66,37,39,40,52,54,55,40,55,95,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,male,Tom Van Kalken,91.16,65,68,-73,85,90,95,68,95,163,AUS
Geelong Open & Geelong Youth GP1,2017-02-05,male,Ben Holt,98.16,54,59,-60,72,79,80,59,80,139,AUS
