event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
SAWLA June Open & SAWC Rodney Hutton Memorial - Round 2,2014-06-21,female,Kirsty Cathcart,88.32,55,-60,60,70,-75,-75,60,70,130
SAWLA June Open & SAWC Rodney Hutton Memorial - Round 2,2014-06-21,male,Frank Elliott,76.48,110,115,122,145,-150,-152,122,145,267
SAWLA June Open & SAWC Rodney Hutton Memorial - Round 2,2014-06-21,male,Jake Forster,74.90,75,80,-90,95,102,-110,80,102,182
SAWLA June Open & SAWC Rodney Hutton Memorial - Round 2,2014-06-21,male,Manthan Tokhi,71.18,50,54,56,65,70,75,56,75,131
SAWLA June Open & SAWC Rodney Hutton Memorial - Round 2,2014-06-21,male,Mitchell Gustafsson,83.66,100,-105,-105,120,-125,-125,100,120,220
SAWLA June Open & SAWC Rodney Hutton Memorial - Round 2,2014-06-21,male,Matthew Randell,97.98,100,105,110,130,135,-140,110,135,245
SAWLA June Open & SAWC Rodney Hutton Memorial - Round 2,2014-06-21,male,Matthew Sulkowski,107.56,-90,93,100,105,110,-115,100,110,210
SAWLA June Open & SAWC Rodney Hutton Memorial - Round 2,2014-06-21,male,Jared Grimm,137.26,70,77,85,95,100,-105,85,100,185
SAWLA June Open & SAWC Rodney Hutton Memorial - Round 2,2014-06-21,male,Anthony Formichella,112.52,53,60,65,-70,-75,-80,65,0,0
SAWLA June Open & SAWC Rodney Hutton Memorial - Round 2,2014-06-21,male,Trent Reinboth,95.86,75,-82,-90,100,108,-115,75,108,183
