event,date,gender,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Krystal Andrews,46.60,27,30,31,40,43,45,31,45,76,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Audrey Martin,50.50,34,36,-38,48,-50,-50,36,48,84,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Anika Wilson,52.00,23,25,27,27,29,31,27,31,58,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Erika Yamasaki,54.70,79,82,84,100,104,-107,84,104,188,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Rachel Mcclure,56.70,45,47,-50,54,57,-60,47,57,104,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,April Rustichelli,56.20,37,40,43,55,-58,58,43,58,101,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Kiara Gemmell,54.70,37,41,44,46,50,53,44,53,97,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Chelsea Freier,55.20,37,41,-43,47,52,-54,41,52,93,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Davina Hughes,62.70,60,63,-65,70,74,77,63,77,140,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Christina Jamieson,60.30,40,44,48,64,68,72,48,72,120,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Rebecca Jakubovsky,62.90,49,51,-53,-64,64,67,51,67,118,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Samantha Downs,62.90,46,49,-51,62,65,-67,49,65,114,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Rachel Roberton,61.50,45,-48,50,52,55,-60,50,55,105,AUS
"QWA League Round 3, Masters League Round 3, and Eleiko AWF Club Challenge State Qualifying Event",2015-08-15,female,Tanya Eames,62.00,40,44,-47,54,-59,59,44,59,103,AUS
