event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
East London Invitational 2019,2019-04-27,Men's Senior 89Kg,Daniel Conroy,87.9,110,114,116,144,-150,-150,116,144,260
East London Invitational 2019,2019-04-27,Men's Senior 89Kg,Joe Kelly,87.8,93,-97,-97,114,-120,120,93,120,213
East London Invitational 2019,2019-04-27,Men's Senior 89Kg,Thomas Gosnell,84.8,53,57,61,66,-71,71,61,71,132
East London Invitational 2019,2019-04-27,Men's Senior 81Kg,Edward Freckelton,80.7,54,57,60,62,-66,66,60,66,126
East London Invitational 2019,2019-04-27,Men's Senior 81Kg,Joseph Baaklini,75.7,-52,52,-55,62,65,70,52,70,122
East London Invitational 2019,2019-04-27,Women's Senior 64Kg,Laila Al-Khatib,62.7,-52,52,-54,63,65,-67,52,65,117
East London Invitational 2019,2019-04-27,Women's Senior 64Kg,Natalie Vass,62.3,43,45,-48,55,59,-63,45,59,104
East London Invitational 2019,2019-04-27,Women's Senior 55Kg,Thitirattana Trarewaxe,51.5,39,42,-44,-51,-52,52,42,52,94
East London Invitational 2019,2019-04-27,Women's Senior 87+Kg,Georgiana Watt,111.1,-39,-39,39,48,51,54,39,54,93
East London Invitational 2019,2019-04-27,Women's Senior 87Kg,Natalie Beech,85.7,40,42,44,45,48,-51,44,48,92
East London Invitational 2019,2019-04-27,Women's Senior 71Kg,Trisha Forbes,69.7,27,30,31,35,40,-43,31,40,71
