meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 89kg,Jonathan ONeill,82.7,110,115,-120,130,135,140,115,140,255
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 89kg,Jonathan ONeill,82.7,110,115,-120,130,135,140,115,140,255
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 89kg,Jonathan ONeill,82.7,110,115,-120,130,135,140,115,140,255
Scottsdale Barbell Winter Open,2020-01-04,Men's Masters (35-39) 96kg,John Hazdovac,89.1,108,111,-117,135,-138,-141,111,135,246
Scottsdale Barbell Winter Open,2020-01-04,Junior Men's 89kg,Andrew Sayre,85.3,102,106,109,130,137,-142,109,137,246
Scottsdale Barbell Winter Open,2020-01-04,Men's Masters (35-39) 96kg,John Hazdovac,89.1,108,111,-117,135,-138,-141,111,135,246
Scottsdale Barbell Winter Open,2020-01-04,Junior Men's 89kg,Andrew Sayre,85.3,102,106,109,130,137,-142,109,137,246
Scottsdale Barbell Winter Open,2020-01-04,Men's Masters (35-39) 96kg,John Hazdovac,89.1,108,111,-117,135,-138,-141,111,135,246
Scottsdale Barbell Winter Open,2020-01-04,Junior Men's 89kg,Andrew Sayre,85.3,102,106,109,130,137,-142,109,137,246
Scottsdale Barbell Winter Open,2020-01-04,Men's Masters (40-44) 81kg,Brian Francis,79.1,102,-107,-107,130,135,-140,102,135,237
Scottsdale Barbell Winter Open,2020-01-04,Men's Masters (40-44) 81kg,Brian Francis,79.1,102,-107,-107,130,135,-140,102,135,237
Scottsdale Barbell Winter Open,2020-01-04,Men's Masters (40-44) 81kg,Brian Francis,79.1,102,-107,-107,130,135,-140,102,135,237
Scottsdale Barbell Winter Open,2020-01-04,Men's Masters (35-39) 96kg,Curtis Griffin,95.1,90,94,98,125,130,-135,98,130,228
Scottsdale Barbell Winter Open,2020-01-04,Men's Masters (35-39) 96kg,Curtis Griffin,95.1,90,94,98,125,130,-135,98,130,228
Scottsdale Barbell Winter Open,2020-01-04,Men's Masters (35-39) 96kg,Curtis Griffin,95.1,90,94,98,125,130,-135,98,130,228
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 81kg,Brent Schweizer,74.8,95,102,-106,120,125,-128,102,125,227
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 81kg,Brent Schweizer,74.8,95,102,-106,120,125,-128,102,125,227
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 81kg,Brent Schweizer,74.8,95,102,-106,120,125,-128,102,125,227
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 81kg,Frank Sewa,80.3,95,100,-104,120,-123,125,100,125,225
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 81kg,Frank Sewa,80.3,95,100,-104,120,-123,125,100,125,225
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 81kg,Frank Sewa,80.3,95,100,-104,120,-123,125,100,125,225
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 81kg,chance green,79.7,94,-100,100,112,117,-122,100,117,217
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 81kg,chance green,79.7,94,-100,100,112,117,-122,100,117,217
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 81kg,chance green,79.7,94,-100,100,112,117,-122,100,117,217
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 73kg,Ryan Milmoe,71.2,75,80,83,105,110,-113,83,110,193
Scottsdale Barbell Winter Open,2020-01-04,Open Men's 73kg,Ryan Milmoe,71.2,75,80,83,105,110,-113,83,110,193
