event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
1. Manche Ligues régionales Zone 2,2024-11-10,female F 49,SHANILLA BOLDINI,48.45,38,40,-42,47,-50,-51,40,47,87
1. Manche Ligues régionales Zone 2,2024-11-10,female F 76,MANON  DOBLER,72.15,39,42,-45,54,57,60,42,60,102
1. Manche Ligues régionales Zone 2,2024-11-10,female F 71,MARYLOU BASSIN,70.85,42,46,-50,47,-52,-54,46,47,93
1. Manche Ligues régionales Zone 2,2024-11-10,female F 71,Elena Ruiz,67.75,35,38,-40,45,50,-53,38,50,88
1. Manche Ligues régionales Zone 2,2024-11-10,female F 71,SABINA CASTELLANI,69.25,30,36,42,40,44,47,42,47,89
1. Manche Ligues régionales Zone 2,2024-11-10,female F 71,RANA MUSA,69.15,30,35,40,40,46,-50,40,46,86
1. Manche Ligues régionales Zone 2,2024-11-10,female F 45,DILEYNA KELLES CAERIO,41.45,21,24,-28,26,-29,29,24,29,53
1. Manche Ligues régionales Zone 2,2024-11-10,female F 35,ZOE SCIPIONE,25.85,9,11,14,10,13,16,14,16,30
1. Manche Ligues régionales Zone 2,2024-11-10,female F 71,DINA FAHM,67.15,-27,28,-30,36,-40,41,28,41,69
1. Manche Ligues régionales Zone 2,2024-11-10,female F 35,YARA FALFOUL ,23.7,7,8,11,9,11,13,11,13,24
1. Manche Ligues régionales Zone 2,2024-11-10,female F 45,ANOUK WÜTHRICH,44.4,15,18,-21,21,26,-28,18,26,44
1. Manche Ligues régionales Zone 2,2024-11-10,female F 45,Keyla Mérillat,42.3,15,17,18,22,24,-25,18,24,42
1. Manche Ligues régionales Zone 2,2024-11-10,female F 64,Sujana Gagnebin,63.55,18,20,22,25,-28,28,22,28,50
1. Manche Ligues régionales Zone 2,2024-11-10,female F 40,SOFIA MATTEO,39.6,5,6,8,8,10,12,8,12,20
1. Manche Ligues régionales Zone 2,2024-11-10,female F 55,SERVANE LITZLER,52.35,50,-54,-55,55,60,65,50,65,115
1. Manche Ligues régionales Zone 2,2024-11-10,female F 71,Sarah Pitteloud,64.5,52,56,60,70,-75,-77,60,70,130
1. Manche Ligues régionales Zone 2,2024-11-10,female F 81,MARLENE STORTI,79.35,60,63,-66,70,74,78,63,78,141
1. Manche Ligues régionales Zone 2,2024-11-10,female F 55,PAULINE DURY,51.8,-44,46,49,54,-57,58,49,58,107
1. Manche Ligues régionales Zone 2,2024-11-10,female F 40,LUNA LITZLER,37.1,-33,33,35,38,42,-46,35,42,77
1. Manche Ligues régionales Zone 2,2024-11-10,female F 64,SANDRA MULLER,62.85,48,50,52,58,60,63,52,63,115
1. Manche Ligues régionales Zone 2,2024-11-10,female F 71,Maelle Imwinkelried,67.4,45,50,53,60,65,-70,53,65,118
1. Manche Ligues régionales Zone 2,2024-11-10,female F 76,JENNIFER LITZLER,73.6,50,52,-54,62,65,68,52,68,120
1. Manche Ligues régionales Zone 2,2024-11-10,female F 64,Jenna Sterchi,63.45,40,-43,44,52,56,-60,44,56,100
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 89,Sandro Stöckli,86.95,70,75,80,90,98,-102,80,98,178
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 89,Michael Stöckli,81.9,65,-70,-70,92,97,-102,65,97,162
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 61,Dorian Vaucher,58.3,51,-54,54,60,64,-67,54,64,118
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 96,Serge Butz,95.6,60,-65,66,80,85,90,66,90,156
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 81,Stéphane Chatelain,78.25,60,-64,64,70,-75,75,64,75,139
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 102,Laurent  Litzler,100.0,54,58,61,89,-95,-99,61,89,150
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 102,JOSÉ FERREIRA,99.85,55,58,61,70,74,78,61,78,139
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 73,Ivo Zürcher,68.7,-45,45,-47,55,57,59,45,59,104
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 67,Arnaud Maître,62.55,33,38,42,45,50,55,42,55,97
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 35,RAYAN FALFOUL,18.2,5,6,7,4,6,7,7,7,14
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 89,ANTOINE MARCHAND,88.25,100,-105,105,120,-125,125,105,125,230
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 81,Cédric Kämpf,74.2,-85,85,89,113,117,-120,89,117,206
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 61,SAMUEL GERINGER,58.85,-76,-80,80,96,-101,-101,80,96,176
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 81,VICTOR VICCARO,78.85,83,88,-91,105,111,-119,88,111,199
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 61,Jonathan Court,59.6,70,73,-76,85,-90,-90,73,85,158
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 96,VALON HOTI MARINI,95.15,77,81,-89,95,102,-107,81,102,183
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 89,UGO MAGGIORE,88.1,65,70,-75,95,-100,102,70,102,172
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 73,NICOLAS ROULLET,72.55,60,-65,-65,80,-85,85,60,85,145
1. Manche Ligues régionales Zone 2,2024-11-10,male - M 73,Dylan Sautebin,68.45,-82,-82,-83,102,-105,107,0.0,107,0.0
