event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
NDIE - NAT 1 - Caen - 4ème Journée de National 1 Femmes,2025-02-08,U20 Women 59,LEMÉ Youna,57.6,-70.0,-70.0,70.0,-88.0,-88.0,88.0,70.0,88.0,158.0
NDIE - NAT 1 - Caen - 4ème Journée de National 1 Femmes,2025-02-08,SEN Women 55,ORNELLAS Talitha,53.9,-50.0,50.0,-53.0,60.0,63.0,65.0,50.0,65.0,115.0
NDIE - NAT 1 - Caen - 4ème Journée de National 1 Femmes,2025-02-08,SEN Women 59,LACOSTE Mylène,55.8,52.0,-55.0,-55.0,65.0,70.0,-75.0,52.0,70.0,122.0
NDIE - NAT 1 - Caen - 4ème Journée de National 1 Femmes,2025-02-08,SEN Women 64,MICHEL Maelyn,61.4,86.0,89.0,-91.0,98.0,103.0,107.0,89.0,107.0,196.0
NDIE - NAT 1 - Caen - 4ème Journée de National 1 Femmes,2025-02-08,SEN Women 64,DARRAS Lisa,61.8,72.0,76.0,-80.0,92.0,96.0,100.0,76.0,100.0,176.0
NDIE - NAT 1 - Caen - 4ème Journée de National 1 Femmes,2025-02-08,SEN Women 64,GODU Lou-anne,61.65,-62.0,62.0,-64.0,80.0,83.0,85.0,62.0,85.0,147.0
NDIE - NAT 1 - Caen - 4ème Journée de National 1 Femmes,2025-02-08,SEN Women 64,LARGEAS Noelle,59.75,47.0,50.0,-53.0,67.0,70.0,-73.0,50.0,70.0,120.0
NDIE - NAT 1 - Caen - 4ème Journée de National 1 Femmes,2025-02-08,SEN Women 71,LEONG CHONG Joana,64.8,80.0,85.0,-0.0,100.0,105.0,-0.0,85.0,105.0,190.0
NDIE - NAT 1 - Caen - 4ème Journée de National 1 Femmes,2025-02-08,SEN Women 71,GOMIS Clarisse,66.6,70.0,74.0,77.0,92.0,96.0,-100.0,77.0,96.0,173.0
NDIE - NAT 1 - Caen - 4ème Journée de National 1 Femmes,2025-02-08,SEN Women 71,LE GUEN Guénaèle,65.9,54.0,58.0,-60.0,72.0,-75.0,75.0,58.0,75.0,133.0
