event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
Munster Open Championships - 2025,2025-02-08,female - U13 F 53,Paige MINIHANE,50.9,32.0,34.0,35.0,40.0,43.0,45.0,35.0,45.0,80.0
Munster Open Championships - 2025,2025-02-08,female - U13 F 69,Laura NOVAK,64.9,53.0,55.0,57.0,63.0,65.0,67.0,57.0,67.0,124.0
Munster Open Championships - 2025,2025-02-08,female - U15 F 53,Faye MCGRATH,48.3,20.0,23.0,25.0,25.0,28.0,30.0,25.0,30.0,55.0
Munster Open Championships - 2025,2025-02-08,female - U15 F 63,Katie HAMILTON,59.3,47.0,50.0,52.0,62.0,-64.0,-64.0,52.0,62.0,114.0
Munster Open Championships - 2025,2025-02-08,female - U15 F 69,Anna MCLARNON,64.2,-52.0,52.0,54.0,63.0,66.0,-68.0,54.0,66.0,120.0
Munster Open Championships - 2025,2025-02-08,female - YTH F 63,Zara MULHALL WERNER,61.4,25.0,27.0,-29.0,30.0,33.0,35.0,27.0,35.0,62.0
Munster Open Championships - 2025,2025-02-08,female - F 53,Gladys Kate PASCUAL,52.2,53.0,56.0,-58.0,70.0,72.0,-74.0,56.0,72.0,128.0
Munster Open Championships - 2025,2025-02-08,female - F 58,Karla KELLY,56.5,51.0,53.0,-55.0,70.0,73.0,-75.0,53.0,73.0,126.0
Munster Open Championships - 2025,2025-02-08,female - F 58,Caroline POOVELIL,57.9,-48.0,50.0,-52.0,64.0,-67.0,0.0,50.0,64.0,114.0
Munster Open Championships - 2025,2025-02-08,female - F 58,Emma CUDDY,57.5,40.0,42.0,-44.0,52.0,54.0,56.0,42.0,56.0,98.0
Munster Open Championships - 2025,2025-02-08,female - F 58,Isabel BARTAK-HEALY,57.0,32.0,34.0,-38.0,-42.0,42.0,-45.0,34.0,42.0,76.0
Munster Open Championships - 2025,2025-02-08,female - F 58,Phil BROWN,55.0,31.0,33.0,-35.0,38.0,40.0,42.0,33.0,42.0,75.0
Munster Open Championships - 2025,2025-02-08,female - F 58,Julie NEWMAN,54.1,27.0,29.0,-31.0,34.0,-37.0,-37.0,29.0,34.0,63.0
Munster Open Championships - 2025,2025-02-08,female - F 63,Niamh MURRAY,59.8,62.0,-64.0,66.0,83.0,86.0,-88.0,66.0,86.0,152.0
Munster Open Championships - 2025,2025-02-08,female - F 63,Megan STEVENSON,62.5,-63.0,-63.0,63.0,81.0,84.0,87.0,63.0,87.0,150.0
Munster Open Championships - 2025,2025-02-08,female - F 63,Natasha ADESANMI,61.7,-53.0,55.0,58.0,65.0,70.0,75.0,58.0,75.0,133.0
Munster Open Championships - 2025,2025-02-08,female - F 63,Ciara FITZSIMONS,59.8,43.0,46.0,49.0,55.0,58.0,60.0,49.0,60.0,109.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Rachel MONAGHAN,63.7,73.0,76.0,-78.0,98.0,100.0,-102.0,76.0,100.0,176.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Martha ROCHFORD,68.5,58.0,62.0,66.0,82.0,86.0,91.0,66.0,91.0,157.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Maria HAYES,66.0,62.0,65.0,-68.0,78.0,81.0,84.0,65.0,84.0,149.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Anne Marie MEAGHER,68.8,63.0,-65.0,66.0,-77.0,77.0,80.0,66.0,80.0,146.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Dearbhla ORMONDE,68.2,55.0,58.0,61.0,76.0,80.0,84.0,61.0,84.0,145.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Casey KEENAGHAN,68.2,63.0,-66.0,67.0,73.0,76.0,-79.0,67.0,76.0,143.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Gill HESSION,66.3,45.0,50.0,-55.0,68.0,-72.0,72.0,50.0,72.0,122.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Laurie MCLEAN,68.7,44.0,47.0,50.0,60.0,64.0,68.0,50.0,68.0,118.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Orla CLANCY,64.4,40.0,42.0,44.0,50.0,52.0,54.0,44.0,54.0,98.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Elizabeth SCHMIDT,66.2,39.0,43.0,-46.0,-47.0,-50.0,50.0,43.0,50.0,93.0
Munster Open Championships - 2025,2025-02-08,female - F 69,Maeve MCCARTHY,67.3,35.0,38.0,-40.0,40.0,45.0,-50.0,38.0,45.0,83.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Roberta TABONE,69.3,-82.0,82.0,85.0,103.0,105.0,108.0,85.0,108.0,193.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Kaitlin SAUNDERS,74.8,79.0,82.0,-85.0,100.0,103.0,-105.0,82.0,103.0,185.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Aoife O'MOORE,75.1,73.0,75.0,77.0,101.0,104.0,-106.0,77.0,104.0,181.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Joyce REILLY,73.0,67.0,70.0,73.0,82.0,-86.0,-90.0,73.0,82.0,155.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Sorcha BROE-BRADY,73.6,-67.0,67.0,70.0,82.0,-85.0,85.0,70.0,85.0,155.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Alanna CUDDY,72.6,54.0,57.0,60.0,72.0,75.0,-78.0,60.0,75.0,135.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Jasmin EICHHORN,70.0,53.0,56.0,-59.0,65.0,68.0,-70.0,56.0,68.0,124.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Edwina DOOLEY,73.7,45.0,48.0,50.0,-62.0,62.0,-66.0,50.0,62.0,112.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Sabine BONUS,76.6,35.0,38.0,-42.0,55.0,58.0,-61.0,38.0,58.0,96.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Charlene CADDEN,76.1,40.0,43.0,-46.0,46.0,49.0,52.0,43.0,52.0,95.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Priscilla O'SULLIVAN,76.8,38.0,-41.0,-41.0,-53.0,55.0,-58.0,38.0,55.0,93.0
Munster Open Championships - 2025,2025-02-08,female - F 77,Lucinda MOORE-FOX,75.4,32.0,-34.0,-34.0,43.0,45.0,-47.0,32.0,45.0,77.0
Munster Open Championships - 2025,2025-02-08,female - F 86,Jo O'SULLIVAN,77.6,50.0,55.0,58.0,75.0,80.0,84.0,58.0,84.0,142.0
Munster Open Championships - 2025,2025-02-08,female - F 86,Victoria HAYES,81.5,56.0,59.0,-62.0,75.0,-78.0,-78.0,59.0,75.0,134.0
Munster Open Championships - 2025,2025-02-08,female - F 86,Cody BEHAN,84.5,48.0,51.0,-53.0,63.0,66.0,68.0,51.0,68.0,119.0
Munster Open Championships - 2025,2025-02-08,female - F 86,Maeve MURPHY,79.8,46.0,-50.0,-51.0,66.0,-69.0,72.0,46.0,72.0,118.0
Munster Open Championships - 2025,2025-02-08,female - F 86,Caroline MURPHY,79.8,-43.0,43.0,-46.0,63.0,66.0,-70.0,43.0,66.0,109.0
Munster Open Championships - 2025,2025-02-08,female - F 86,Oonagh BRENNAN,79.6,35.0,38.0,-41.0,48.0,51.0,55.0,38.0,55.0,93.0
Munster Open Championships - 2025,2025-02-08,female - F 86,Lisa Marie FARRELLY,85.0,31.0,34.0,36.0,41.0,44.0,47.0,36.0,47.0,83.0
Munster Open Championships - 2025,2025-02-08,female - F 86,Rebecca CLINTON,81.1,22.0,-24.0,24.0,32.0,34.0,-36.0,24.0,34.0,58.0
Munster Open Championships - 2025,2025-02-08,female - F >86,Megan CLINTON-COYNE,89.2,22.0,24.0,26.0,32.0,34.0,36.0,26.0,36.0,62.0
Munster Open Championships - 2025,2025-02-08,female - F >86,Sharon KEEGAN,96.7,50.0,53.0,-55.0,-72.0,-75.0,-75.0,53.0,0.0,0.0
