event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,50 kg Men,FERRUZOLA ALAVA Rafael Patricio,49.50,81,83,-86,100,102,0,83,102,185
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,50 kg Men,RAMIREZ VIRGILIO Julian Rodolfo,49.60,75,80,82,93,98,101,82,101,183
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,50 kg Men,CRUZ LOPEZ Dario Enrique,48.50,65,70,73,85,-90,91,73,91,164
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,50 kg Men,PINEDA ZETA Edgar Ismael,49.30,65,70,-73,-85,85,90,70,90,160
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,56 kg Men,HIGUITA BARRERA Luis Fernando,55.00,93,95,101,115,120,121,101,121,222
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,56 kg Men,ROMERO Solmar,55.70,-93,95,97,115,-119,-119,97,115,212
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,56 kg Men,VALLECILLO LEDESMA Vicente Jesus Manuel,55.30,88,93,-96,113,117,121,93,121,214
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,56 kg Men,BRIONES FERRUZOLA Simon Alejandro,55.10,-87,87,-90,112,116,-119,87,116,203
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,56 kg Men,VASQUEZ MORALES Orlando Antonio,55.30,77,82,-86,-97,-97,97,82,97,179
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,56 kg Men,SANCHEZ HERNANDEZ Bryon Fransua,55.30,72,76,-80,95,100,-110,76,100,176
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,56 kg Men,ICAL SALAZAR Jose Fernando,53.80,65,-70,70,85,-90,90,70,90,160
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,62 kg Men,RODRIGUEZ MUNOZ Oscar Damian,61.40,95,99,101,122,126,130,101,130,231
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,62 kg Men,TUYUB PONCE Mauri Enrique,61.70,96,-101,-102,-123,123,125,96,125,221
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,62 kg Men,MERINO LARA Jairo Paul,60.70,83,90,-95,115,120,123,90,123,213
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,69 kg Men,CAICEDO PIEDRAHITA Andres Mauricio,67.80,120,125,-131,146,151,-152,125,151,276
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,69 kg Men,AGUILAR CHAN Josue Alberto,68.90,110,114,116,146,-151,152,116,152,268
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,69 kg Men,RUIZ ESPINOZA Danilo Alexander,67.50,105,110,114,136,143,-146,114,143,257
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,69 kg Men,GOMES DOS SANTOS Jonatan,68.00,105,-110,110,-125,-130,-130,110,0,0
PAN AMERICAN YOUTH CHAMPIONSHIPS,2013-09-03,69 kg Men,MADRID DE LEON Kevin Alexis,68.80,-100,100,103,-130,-130,130,103,130,233
