event,date,category,lifter_name,bodyweight,snatch_1,snatch_2,snatch_3,cj_1,cj_2,cj_3,best_snatch,best_cj,total
Tønsberg-Kam. Nasjonalt stevne,2023-12-29,male - Ungdom Menn,Jacob T. Sverdrup,55,35,37,40,43,45,47,40,47,87
Tønsberg-Kam. Nasjonalt stevne,2023-12-29,male - Ungdom Menn,Oliver Mitseim-Haugan,89,83,86,-90,107,112,-115,86,112,198
Tønsberg-Kam. Nasjonalt stevne,2023-12-29,male - Ungdom Menn,René Myhre,73,53,56,60,95,-100,-100,60,95,155
Tønsberg-Kam. Nasjonalt stevne,2023-12-29,male - Senior Menn,Tarjei Breivik,96,100,105,110,125,130,-135,110,130,240
Tønsberg-Kam. Nasjonalt stevne,2023-12-29,male - Veteran Menn over 55,Tom Danielsen,81,70,72,-74,80,87,90,72,90,162
Tønsberg-Kam. Nasjonalt stevne,2023-12-29,male - Junior Menn,Ulrik Lie-Haugen,96,89,93,97,110,115,120,97,120,217
Tønsberg-Kam. Nasjonalt stevne,2023-12-29,male - Ungdom Menn,William A. Christiansen,96,110,-115,115,-138,142,146,115,146,261
Tønsberg-Kam. Nasjonalt stevne,2023-12-29,male - Senior Menn,Dennis Åkre Danielsen,109,80,90,0,140,-150,-150,90,140,230
Tønsberg-Kam. Nasjonalt stevne,2023-12-29,male - Junior Menn,Emil Strandskog,89,65,70,75,85,90,95,75,95,170
Tønsberg-Kam. Nasjonalt stevne,2023-12-29,male - Ungdom Menn,Even R. Kaasa,89,56,60,64,82,86,90,64,90,154
