event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Senior 105Kg,Joshua Farghaly,102.88,100,110,120,130,140,145,120,145,265
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Junior Under 20 77Kg,Laurence Oakden,77,95,100,110,115,122,-130,110,122,232
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Senior 85Kg,Chris Gateley,83,87,-90,-92,115,121,-125,87,121,208
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Senior 77Kg,Jonathan Roscoe,75.76,-87,-87,92,115,-120,-120,92,115,207
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Under 23 69Kg,Daniyal Butt,67.72,79,83,85,-102,102,-106,85,102,187
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Under 23 69Kg,Howard Ching,63.36,75,78,-81,98,102,105,78,105,183
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Youth Under 15 85Kg,Omar Bittar,78.14,65,70,75,90,95,-100,75,95,170
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Senior 77Kg,Luis Ruiz,71.44,60,65,67,87,92,93,67,93,160
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Senior 85Kg,Michael Hunter,83.38,55,60,65,-75,80,85,65,85,150
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Youth Under 17 85Kg,Ellis Train,77.18,56,60,-65,-86,86,88,60,88,148
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Women's Senior 53Kg,Leonora Brajshori,53,55,60,-65,70,75,-80,60,75,135
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Women's Senior 90Kg,Linda Tamakaha,82.4,55,56,57,67,70,72,57,72,129
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Women's Senior 58Kg,Julie Cheung,55,47,50,53,63,66,69,53,69,122
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Men's Senior 85Kg,Joe Blacker,84.84,-120,-120,120,-163,0,0,120,0,120
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Women's Senior 63Kg,Marwa Derouiche,62.9,46,48,50,55,59,63,50,63,113
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Women's Under 23 48Kg,Kristine Santos,46.36,49,51,53,56,-59,59,53,59,112
The BIG Lift | Greater Manchester Open 2017,2017-09-03,Women's Senior 69Kg,Krissi Bingham,65.12,27,31,34,45,47,48,34,48,82
