event,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
Guildford Weightlifting Spring Open,2022-04-03,Men's Senior 89Kg,Chi Chea,84.4,108,112,117,142,148,154,117,154,271
Guildford Weightlifting Spring Open,2022-04-03,Men's Senior 96Kg,Tom Arnold,95.8,103,-108,-110,130,-136,141,103,141,244
Guildford Weightlifting Spring Open,2022-04-03,Men's Senior 109Kg,Krzysztof Bes,107.9,-105,105,107,133,-140,-140,107,133,240
Guildford Weightlifting Spring Open,2022-04-03,Men's Senior 89Kg,Christopher Carter,87.6,85,90,94,120,-126,128,94,128,222
Guildford Weightlifting Spring Open,2022-04-03,Men's Senior 73Kg,Mario Turturici,72.1,90,93,-96,115,118,120,93,120,213
Guildford Weightlifting Spring Open,2022-04-02,Men's Senior 102Kg,Adam Castley,100.1,-85,85,90,105,-110,115,90,115,205
Guildford Weightlifting Spring Open,2022-04-03,Women's Senior 87Kg,Nicola Stiddard,84.8,80,85,90,108,-112,112,90,112,202
Guildford Weightlifting Spring Open,2022-04-02,Men's Masters (35-39) 109+Kg,Mindaugas Verdingovas,111.3,79,84,87,100,106,112,87,112,199
Guildford Weightlifting Spring Open,2022-04-03,Men's Senior 89Kg,Thomas Singleton,81.5,-82,83,88,102,106,110,88,110,198
Guildford Weightlifting Spring Open,2022-04-02,Men's Masters (35-39) 89Kg,Marian Polcik,87,82,-85,-87,100,105,110,82,110,192
Guildford Weightlifting Spring Open,2022-04-02,Men's Senior 96Kg,Joshua Delaney,93.6,77,81,85,92,97,103,85,103,188
Guildford Weightlifting Spring Open,2022-04-03,Men's Masters (45-49) 102Kg,Paul McCabe-North,99.4,-82,-83,83,105,-110,-112,83,105,188
Guildford Weightlifting Spring Open,2022-04-03,Men's Junior Under 20 81Kg,Daniel Ward,76,78,83,-87,96,-100,-103,83,96,179
Guildford Weightlifting Spring Open,2022-04-03,Men's Senior 81Kg,Cyrus Wilken,80.6,70,74,-77,100,-105,-106,74,100,174
Guildford Weightlifting Spring Open,2022-04-03,Women's Masters (35-39) 71Kg,Laura Parker,70.9,73,-75,75,93,95,97,75,97,172
Guildford Weightlifting Spring Open,2022-04-02,Men's Masters (40-44) 89Kg,Lourens Loubser,84.2,-67,-67,67,90,95,-100,67,95,162
Guildford Weightlifting Spring Open,2022-04-03,Women's Masters (35-39) 76Kg,Sara Brayfield,73.4,69,-73,-74,78,83,88,69,88,157
Guildford Weightlifting Spring Open,2022-04-03,Men's Senior 81Kg,Alexander Darby,80.1,50,56,63,78,83,88,63,88,151
Guildford Weightlifting Spring Open,2022-04-03,Women's Senior 71Kg,Rachael Nathan,68.7,53,57,61,78,83,88,61,88,149
Guildford Weightlifting Spring Open,2022-04-03,Men's Senior 81Kg,Daniel Drakeford,79.5,58,61,-65,78,82,85,61,85,146
Guildford Weightlifting Spring Open,2022-04-03,Women's Senior 87+Kg,Elena Mariuta,102.4,59,61,63,76,78,81,63,81,144
Guildford Weightlifting Spring Open,2022-04-03,Women's Masters (45-49) 76Kg,Alexandra von Haselberg-Palyvou,75.5,59,63,-66,73,77,-82,63,77,140
Guildford Weightlifting Spring Open,2022-04-03,Men's Senior 61Kg,Rhys Hall,58.3,53,58,62,70,75,78,62,78,140
Guildford Weightlifting Spring Open,2022-04-03,Women's Senior 71Kg,Emily Austin,69.6,55,-58,-58,72,-75,75,55,75,130
Guildford Weightlifting Spring Open,2022-04-03,Women's Senior 81Kg,Emily Alcock,79.8,53,-55,55,70,-73,73,55,73,128
