meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Men's 102kg,Chrisanto D'Agostino,102,0,0,125,0,0,145,125,145,270
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-20,Open Men's 89kg,James Battaglia,89,0,0,103,0,0,160,103,160,263
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Men's 73kg,Myles Higby,68.4,0,0,110,0,0,140,110,140,250
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-27,Open Men's 73kg,Brennen Reed,72.6,0,0,108,0,0,137,108,137,245
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Junior Men's +109kg,Thomas Webb,122.9,0,0,110,0,0,130,110,130,240
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-28,Open Men's 96kg,Joseph Cunningham,96,0,0,114,0,0,120,114,120,234
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Men's 81kg,Austin Prosser,81,0,0,100,0,0,120,100,120,220
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-27,Junior Men's 102kg,William Heller,102,0,0,115,0,0,100,115,100,215
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Junior Men's 81kg,Logan Moseley,81,0,0,87,0,0,127,87,127,214
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-07,Open Men's 89kg,Derek Anthes,89,0,0,96,0,0,115,96,115,211
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Men's 102kg,Ian Schwind,102,0,0,85,0,0,120,85,120,205
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Junior Men's 109kg,Santiago Guaramata,109,0,0,95,0,0,110,95,110,205
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-30,Men's Masters (40-44) 89kg,Jason Morstein,89,0,0,90,0,0,115,90,115,205
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-27,Open Men's 109kg,Kolbi Ferguson,109,0,0,70,0,0,134,70,134,204
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Men's 89kg,Anthony Yasan,89,0,0,85,0,0,116,85,116,201
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-30,Men's Masters (50-54) +109kg,Wayne Fleming,110,0,0,93,0,0,108,93,108,201
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Women's 76kg,Amerie Daniels,76,0,0,84,0,0,110,84,110,194
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-29,Men's Masters (40-44) 81kg,Kyung Shin,81,0,0,84,0,0,105,84,105,189
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-28,Men's Masters (35-39) 67kg,Karl Crosby,67,0,0,82,0,0,102,82,102,184
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Women's 76kg,Hailey Sonnenberg,76,0,0,74,0,0,92,74,92,166
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Men's 81kg,Travis Vance,74.7,0,0,75,0,0,90,75,90,165
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-30,Open Women's +87kg,Avery Owens,88,0,0,70,0,0,90,70,90,160
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Women's 59kg,Summer Daraio-Rivera,59,0,0,62,0,0,88,62,88,150
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-28,Open Men's 73kg,Sawyer Jackson,67.8,0,0,62,0,0,84,62,84,146
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Women's 87kg,Mariah Gardziola,87,0,0,64,0,0,81,64,81,145
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Women's 71kg,Halie Thornton,71,0,0,61,0,0,78,61,78,139
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-28,Open Women's 71kg,Gabriella Mowery,71,0,0,60,0,0,76,60,76,136
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-21,Women's 16-17 Age Group 71kg,Madison Sullivan,71,0,0,55,0,0,80,55,80,135
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-21,Men's Masters (35-39) 61kg,Jason Scovill,61,0,0,57,0,0,78,57,78,135
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-27,Junior Women's 71kg,Zadie Nix,71,0,0,60,0,0,75,60,75,135
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-28,Open Women's 76kg,Delaney Willingham,76,0,0,60,0,0,75,60,75,135
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-28,Open Women's 76kg,Addison Gibney,76,0,0,55,0,0,75,55,75,130
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Women's 71kg,Alyssa Perry,71,0,0,58,0,0,70,58,70,128
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Women's Masters (35-39) +87kg,Lisa Bagby,88,0,0,51,0,0,75,51,75,126
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-28,Women's Masters (40-44) 64kg,Karie Givens,64,0,0,55,0,0,70,55,70,125
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Junior Women's 81kg,Jacqualyn  Yorrick,81,0,0,52,0,0,72,52,72,124
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Women's Masters (35-39) 71kg,Kimberly Smith,71,0,0,57,0,0,66,57,66,123
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-07,Women's 14-15 Age Group 59kg,Brooklynn Hoover,59,0,0,52,0,0,64,52,64,116
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-27,Open Women's 64kg,Jenny King ,64,0,0,55,0,0,61,55,61,116
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-18,Men's 14-15 Age Group 61kg,Nathan Combs,61,0,0,49,0,0,66,49,66,115
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-13,Women's Masters (35-39) 76kg,Regina Tranquillo,76,0,0,55,0,0,60,55,60,115
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Women's Masters (35-39) 71kg,Amanda Scrementi,71,0,0,53,0,0,58,53,58,111
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Open Women's 59kg,Ashlynne Kauffman,59,0,0,47,0,0,59,47,59,106
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-13,Women's Masters (45-49) 59kg,Rebecca Lee,59,0,0,45,0,0,55,45,55,100
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Junior Women's 49kg,Ashley Cucchiara,49,0,0,41,0,0,54,41,54,95
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-08,Junior Women's 49kg,Madyn Parker,49,0,0,40,0,0,49,40,49,89
2023 January Online Qualifier Presented by WODProof (NUQ),2023-01-31,Women's 13 Under Age Group 36kg,Charlee Meyer,36,0,0,19,0,0,25,19,25,44
