meet,date,age_category,lifter,body_weight_(kg),snatch_lift_1,snatch_lift_2,snatch_lift_3,c&j_lift_1,c&j_lift_2,c&j_lift_3,best_snatch,best_c&j,total
2023 Austin | Fit Fest,2023-08-19,Open Men's +109kg,Michael Smith,171.6,120,127,133,170,175,-180,133,175,308
2023 Austin | Fit Fest,2023-08-19,Open Men's 109kg,Gabriel Sanchez,103,114,118,-122,-146,146,-152,118,146,264
2023 Austin | Fit Fest,2023-08-19,Men's Masters (35-39) 96kg,Charles Keenan,91.6,-110,113,116,125,130,135,116,135,251
2023 Austin | Fit Fest,2023-08-19,Open Men's +109kg,Christian Ramirez,127.2,102,-105,-107,128,132,-136,102,132,234
2023 Austin | Fit Fest,2023-08-19,Open Men's 89kg,Michael Cardozo,88.5,91,96,101,115,122,126,101,126,227
2023 Austin | Fit Fest,2023-08-19,Open Men's 89kg,Christopher Hamlin,84.8,-92,93,-97,115,120,-125,93,120,213
2023 Austin | Fit Fest,2023-08-19,Open Men's 81kg,Taylor Amich,80.6,85,88,92,105,111,118,92,118,210
2023 Austin | Fit Fest,2023-08-19,Men's Masters (35-39) 73kg,Manuel Ferrer,70.95,90,94,96,105,109,113,96,113,209
2023 Austin | Fit Fest,2023-08-19,Men's Masters (50-54) +109kg,John Mehrtens,138.2,85,91,-97,100,110,117,91,117,208
2023 Austin | Fit Fest,2023-08-19,Men's Masters (45-49) +109kg,David Weatherington,136,80,-85,85,107,112,-117,85,112,197
2023 Austin | Fit Fest,2023-08-19,Men's 16-17 Age Group 73kg,Seth Barba,73,82,-85,87,102,-106,-107,87,102,189
2023 Austin | Fit Fest,2023-08-19,Open Men's 89kg,Nathan Morehart,84.1,71,72,78,100,-105,108,78,108,186
2023 Austin | Fit Fest,2023-08-19,Open Women's 71kg,Hannah Winslett,69.1,76,80,84,91,96,-100,84,96,180
2023 Austin | Fit Fest,2023-08-19,Men's Masters (45-49) 96kg,William Black,93.6,70,73,80,89,91,93,80,93,173
2023 Austin | Fit Fest,2023-08-19,Women's Masters (40-44) +87kg,Julie Diaz,104.25,70,-73,-73,90,93,95,70,95,165
