BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Mike Swift,108.3,130,-135,-136,165,-172,-178,130,165,295,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Glen Kalbaugh,90.6,115,120,-125,132,142,150,120,150,270,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Trevor Owens,76.7,-116,116,-120,-152,152,-158,116,152,268,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Vu Do,97.2,110,115,120,130,-135,-140,120,130,250,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Matthew Arthur,98.2,97,102,107,124,130,-135,107,130,237,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Jacob Maxcy,70.3,88,92,-95,123,127,-131,92,127,219,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Simon Clark,120.1,90,95,100,110,115,-125,100,115,215,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,nathan varney,94.6,82,87,91,107,112,120,91,120,211,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Kevin Cunanan,80.1,82,84,88,110,115,-120,88,115,203,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Colby Brooks,107.2,80,90,-100,105,110,-120,90,110,200,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,female,Danielle Sheppard,61,73,76,80,101,105,-109,80,105,185,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,female,Elena Schorr,58.7,71,74,77,86,90,93,77,93,170,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Joseph McCutcheon,72.1,70,73,-75,90,-93,96,73,96,169,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,female,Skyler Ansley,110.2,63,67,70,-80,85,90,70,90,160,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,female,Amy Pierce,64.9,68,-71,-74,82,86,90,68,90,158,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,female,Hanna Basham,79.4,68,71,-74,83,86,-90,71,86,157,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Cody Clark,78.4,62,65,-70,85,90,-96,65,90,155,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Ethan Tyndall,64.4,62,-66,-67,83,87,-91,62,87,149,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,female,Annette Bodenheimer,61,-61,62,-66,79,82,-85,62,82,144,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Tyler Russin,62.8,55,58,63,70,75,80,63,80,143,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,female,Christine Zimmerman,74.9,59,62,65,-72,76,-81,65,76,141,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,female,Audrey Tancini,70.4,55,58,61,75,80,-85,61,80,141,US
BARBELLS N SPRINKLES SPRING OPEN,2022-04-02,male,Jackson Ireland,76.7,57,60,63,76,-80,-82,63,76,139,US
