2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Jourdan Delacruz,48.95,80,83,-85,102,105,108,83,108,191,US,3.90194075587334
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Hayley Reichardt,48.7,81,-84,-84,102,105,108,81,108,189,US,3.8809034907597533
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Shayla Moore,55,83,86,-88,-109,111,116,86,116,202,US,3.672727272727273
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Taylor Wilkins,58.4,89,93,-96,117,-121,121,93,121,214,US,3.664383561643836
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-03,female,Cicely Kyle,44.95,70,73,-76,90,-93,-93,73,90,163,US,3.626251390433815
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-05,female,Katherine Nye,70.35,103,106,109,127,132,136,109,136,245,US,3.482587064676617
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Angelique Reed,43.85,63,-67,67,78,82,85,67,85,152,US,3.4663625997719496
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Maddison Pannell,54.7,81,-83,84,105,-110,-112,84,105,189,US,3.4552102376599634
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Gretchen Villa,44.7,-68,68,71,-83,83,-86,71,83,154,US,3.445190156599552
BWL BRITISH SENIOR CHAMPIONSHIPS 2022,2022-01-29,female,Fraer Morrow,58.04,84,-87,87,106,112,-115,87,112,199,UK,3.4286698828394213
Commonwealth Games 22 Trials,2022-04-24,female,Jess Gordon Brown,59,88,-91,91,106,109,111,91,111,202,UK,3.4237288135593222
BWL BRITISH SENIOR CHAMPIONSHIPS 2022,2022-01-29,female,Catrin Jones,54.71,80,83,-85,100,104,-107,83,104,187,UK,3.4180222993968195
2022 IWF Junior World Championships,2022-05-04,female,Katharine Estep,58.75,85,88,91,-109,-109,109,91,109,200,US,3.404255319148936
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Meaghan Strey,58.6,-87,87,-90,104,108,112,87,112,199,US,3.3959044368600684
