Western States University Qualifier and Open (NUQ),2022-01-22,male,Benjamin Grisham,74.5,412,44,46,52,54,57,412,57,469,US,6.295302013422819
2022 IWF Junior World Championships,2022-05-03,male,Hampton Morris,60.5,-116,-116,116,150,154,160,116,160,276,US,4.56198347107438
2022 IWF Junior World Championships,2022-05-05,male,Ryan Grimsland,72.8,136,140,145,176,182,-187,145,182,327,US,4.491758241758242
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,male,Brian Reisenauer,60.85,-114,115,-118,136,-141,141,115,141,256,US,4.207066557107642
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,male,Jacob Horst,71.25,-133,133,-138,162,-169,-169,133,162,295,US,4.140350877192983
Barbell MAYnia,2022-05-07,male,gabe chhum,54.4,-100,-100,100,125,-130,-130,100,125,225,US,4.136029411764706
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-03,male,Darrel Barnes,60.65,110,-115,-115,-140,140,-146,110,140,250,US,4.122011541632316
BWL BRITISH SENIOR CHAMPIONSHIPS 2022,2022-01-29,male,Jack Oliver,71.92,133,-136,136,-157,-157,159,136,159,295,UK,4.101779755283649
2022 IWF Junior World Championships,2022-05-05,male,Caden Cahoy,70,119,122,-125,155,160,165,122,165,287,US,4.1
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,male,Clarence Cummings,80.15,142,-148,-148,184,-194,-201,142,184,326,US,4.0673736743605735
2022 IWF Junior World Championships,2022-05-04,male,Mario Marquez,66.9,113,117,121,145,150,-155,121,150,271,US,4.0508221225710015
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,male,Nathan Damron,88.05,150,155,160,190,195,196,160,196,356,US,4.043157296990347
2022 ALEE Spring Open,2022-05-07,male,Alex Lee,73,120,125,130,150,160,165,130,165,295,US,4.041095890410959
Bexar Barbell Spring Throwdown,2022-05-14,male,Matthew McCullough,71.8,120,125,130,145,152,160,130,160,290,US,4.03899721448468
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,male,Edward Ginnan,80.15,-136,138,142,180,-185,-185,142,180,322,US,4.0174672489082965
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-03,male,James Vaughn,61,109,-112,-112,-136,136,-142,109,136,245,US,4.016393442622951
Commonwealth Games 22 Trials,2022-04-24,male,Jaswant Shergill,66.5,110,115,117,140,-148,148,117,148,265,UK,3.9849624060150375
2022 Florida State Championships,2022-05-21,male,Marcus Dialo,72.3,122,128,130,150,158,-166,130,158,288,US,3.983402489626556
Commonwealth Games 22 Trials,2022-04-24,male,Chris Murray,79.9,132,138,140,170,175,-179,140,175,315,UK,3.9424280350438043
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,male,Matt Rattay,80,135,140,-145,175,-180,-187,140,175,315,US,3.9375
2022 Florida State Championships,2022-05-21,male,Ruchit Patel,60.75,100,104,105,128,133,-135,105,133,238,US,3.9176954732510287
Commonwealth Games 22 Trials,2022-04-24,male,Haroon Siraj,66.5,112,116,119,140,-145,-149,119,140,259,UK,3.8947368421052633
2022 Kentucky State Championships,2022-04-30,male,Christian Bingman,70.7,115,120,-125,140,150,155,120,155,275,US,3.8896746817538896
The Virus Classic at SoCal,2022-04-16,male,Josh Bringas,72.11,115,-120,120,150,160,-170,120,160,280,US,3.882956594092359
Rubber City Weightlifting Open,2022-05-22,male,Aaron Babet,60.25,97,102,-105,-125,125,131,102,131,233,US,3.867219917012448
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,male,Beau Brown,87.2,143,147,-151,-181,184,190,147,190,337,US,3.864678899082569
Commonwealth Games 22 Trials,2022-04-24,male,Benjamin Hickling,54.8,90,93,96,110,115,-117,96,115,211,UK,3.8503649635036497
2022 Manuel Torneo XL In Memoriam,2022-03-17,male,Brandon Victorian,80.8,133,-138,138,163,169,173,138,173,311,US,3.849009900990099
2022 Texas State Weightlifting Championships,2022-01-16,male,Kenny Wilkins,66.8,105,-111,113,131,137,142,113,142,255,US,3.817365269461078
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,male,Caleb Goodman,86.1,-137,138,-142,-180,190,-200,138,190,328,US,3.8095238095238098
BWL BRITISH SENIOR CHAMPIONSHIPS 2022,2022-01-29,male,Craig Carfray,65.97,105,109,112,-135,135,139,112,139,251,UK,3.804759739275428
BWL BRITISH SENIOR CHAMPIONSHIPS 2022,2022-01-29,male,Christopher Freebury,66.77,115,-120,-120,135,139,-143,115,139,254,UK,3.8041036393589938
2022 IWF Junior World Championships,2022-05-06,male,Preston Powell,80.6,130,135,140,161,166,-171,140,166,306,US,3.796526054590571
Commonwealth Games 22 Trials,2022-04-24,male,Guy Michel Ngongang Tchuissi,80.4,131,135,-138,165,170,-174,135,170,305,UK,3.7935323383084576
The MASS Classic,2022-01-29,male,Dominik Polverini,63.8,-101,101,105,130,135,137,105,137,242,US,3.793103448275862
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-03,male,Rene Navarrete,54.7,85,89,91,110,115,-120,91,115,206,US,3.76599634369287
2022 February Online Qualifier,2022-02-28,male,Kier Miner,89,105,0,0,230,0,0,105,230,335,US,3.764044943820225
The Nike 2022 National University Championships powered by Rogue,2022-03-03,male,Seth Tom,59.7,96,-99,100,121,124,-127,100,124,224,US,3.7520938023450583
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-03,male,Hutch Friend,66.95,106,110,114,127,133,137,114,137,251,US,3.749066467513069
Tradition Barbell Open II,2022-04-02,male,Joseph Garcia,60.9,95,100,103,120,125,-130,103,125,228,US,3.7438423645320196
PWA Championships 2022,2022-05-21,male,Sean Guterres,65.2,100,105,109,125,130,135,109,135,244,US,3.742331288343558
BWL BRITISH SENIOR CHAMPIONSHIPS 2022,2022-01-29,male,Jonathan Chin,72.54,113,118,-121,148,153,0,118,153,271,UK,3.7358698649021225
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-03,male,Trevor Owens,71.85,114,-118,118,150,-154,-154,118,150,268,US,3.7299930410577593
Gym's House Open,2022-02-12,male,Christian Rodriguez Ocasio,83.2,-135,-135,135,165,175,0,135,175,310,US,3.7259615384615383
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,male,Braydon Kennedy,88.85,150,155,-160,-175,176,-183,155,176,331,US,3.725379853685988
2022 Texas Barbell Spring Showdown,2022-03-26,male,Miguel Garcia,59.6,90,94,97,117,122,125,97,125,222,US,3.7248322147651005
MN Sadecki State Championships,2022-05-22,male,Charles Ssekyaaya,61.76,-95,100,-105,125,130,-135,100,130,230,US,3.7240932642487046
BWL BRITISH SENIOR CHAMPIONSHIPS 2022,2022-01-29,male,Jacob Finnigan,72.58,117,-120,120,145,150,-157,120,150,270,UK,3.720033066960595
