2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Mary Theisen-Lappen,135.15,115,-118,-118,155,163,-166,115,163,278,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Sarah Robles,141.2,115,120,125,146,151,-155,125,151,276,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Martha Rogers,76.5,105,108,110,133,137,140,110,140,250,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-05,female,Katherine Nye,70.35,103,106,109,127,132,136,109,136,245,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Juliana Riotto,86.45,103,106,108,127,131,135,108,135,243,US
BWL BRITISH SENIOR CHAMPIONSHIPS 2022,2022-01-29,female,Mercy Brown,106.42,98,102,107,121,130,-137,107,130,237,UK
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Kuinini Manumua,107.8,-103,103,0,125,128,133,103,133,236,US
2022 IWF Junior World Championships,2022-05-06,female,Olivia Reeves,70.95,103,105,107,-128,-129,129,107,129,236,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-04,female,Meredith Alwine,70.9,100,103,-105,131,-135,-135,103,131,234,US
PWA Championships 2022,2022-05-21,female,Laura Alexander,82.2,-100,100,-104,128,133,-136,100,133,233,US
Rubber City Weightlifting Open,2022-05-21,female,Mariah Park,73.7,101,103,-105,125,-130,130,103,130,233,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Jessie Stemo,80.5,100,103,-106,130,-135,-135,103,130,233,US
2022 Florida State Championships,2022-05-22,female,Shala McMillan,140.9,98,102,-105,-123,123,130,102,130,232,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Maci Winn,80.15,104,-107,108,122,-123,-131,108,122,230,US
2022 Capital City Open,2022-05-01,female,Kateri Peters,82.85,96,99,103,120,125,-130,103,125,228,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Anna McElderry,80.4,97,100,-103,119,-124,125,100,125,225,US
O.C. States Qualifier,2022-04-30,female,Victoria Jefferson,86.15,90,95,100,120,-125,125,100,125,225,US
2022 O.C. Open,2022-03-19,female,Sarah Barnett,86,95,100,-102,120,123,125,100,125,225,US
2022 IWF Junior World Championships,2022-05-09,female,Avery Owens,86.9,94,97,99,123,-128,-128,99,123,222,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Amanda Robles,86.95,96,99,103,114,118,-121,103,118,221,US
Northwest WSO kick off,2022-02-05,female,Roserica Brown,117.9,90,95,100,110,115,120,100,120,220,US
2022 Manuel Torneo XL In Memoriam,2022-03-18,female,Estelle Rohr,74.7,93,96,-100,119,-123,123,96,123,219,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Nia Walker,97.1,91,95,97,115,118,121,97,121,218,US
Barbell MAYnia,2022-05-07,female,Ceara Gray,84.8,87,90,93,115,120,125,93,125,218,US
2022 Lock and Load,2022-05-14,female,Taylor Wilkins,63,92,96,-100,113,117,122,96,122,218,US
Sunday Series: Big Blind,2022-05-22,female,Katlin Kallmeyer,119.85,89,92,95,118,122,-125,95,122,217,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Kristen Erickson,94.95,-100,100,-103,-117,117,-121,100,117,217,US
Kilo Cooler,2022-02-19,female,Celia Gold,74,91,94,-97,119,123,-126,94,123,217,US
BWL BRITISH SENIOR CHAMPIONSHIPS 2022,2022-01-29,female,Sarah Davies,72.98,93,96,-99,117,120,0,96,120,216,UK
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-05,female,Danielle Gunnin,63.55,-95,97,-100,115,118,-121,97,118,215,US
Heroic Barbell Bridge City Open,2022-05-07,female,Brandi Miller,91.2,90,95,-100,112,116,120,95,120,215,US
2nd Annual Left Coast Weightlifting Spring Open,2022-05-21,female,Kayla Kass,77.39,90,94,96,111,117,-122,96,117,213,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Halle Kotchman,78.55,-87,88,91,117,121,-125,91,121,212,US
The Nike 2022 National University Championships powered by Rogue,2022-03-06,female,Stephanie Gousse,106.6,93,-97,-98,116,119,-122,93,119,212,US
Commonwealth Games 22 Trials,2022-04-24,female,Deborah Alawode,75.7,91,-94,94,117,-120,-120,94,117,211,UK
Commonwealth Games 22 Trials,2022-04-24,female,Emily Sweeney,86.2,88,91,93,111,115,117,93,117,210,UK
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-05,female,Jillian Seamon,75.25,88,91,94,110,113,115,94,115,209,US
Commonwealth Games 22 Trials,2022-04-24,female,Katrina FEKLISTOVA,73.5,89,92,94,114,-118,-120,94,114,208,UK
2022 Northeast Winter Open and University Qualifier,2022-01-15,female,Jes Franklin,73.3,94,-98,-101,113,-117,-117,94,113,207,US
2022 Canada Invitational,2022-02-27,female,Hunter Elam,64,90,93,-96,109,114,-119,93,114,207,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-05,female,Francesca Duncan,72.55,88,91,93,107,111,114,93,114,207,US
PWA Championships 2022,2022-05-21,female,Mariana Duhne Aguayo,98.9,84,88,92,114,-117,-117,92,114,206,US
Commonwealth Games 22 Trials,2022-04-24,female,Nicola Stiddard,85.6,85,-90,91,115,-120,-120,91,115,206,UK
BWL BRITISH SENIOR CHAMPIONSHIPS 2022,2022-01-29,female,Erin Barton,69.42,88,91,-93,110,-115,115,91,115,206,UK
2022 Florida State Championships,2022-05-22,female,Jennifer Schrage,75.2,86,88,90,108,112,115,90,115,205,US
Yolked Championships at Salus Barbell Club,2022-02-12,female,Jordyn Bush,73.9,-88,88,91,108,111,114,91,114,205,US
2022 Nike North American Open Series 1 Powered by Rogue,2022-03-06,female,Sarah Uschmann,96.3,92,95,99,103,106,-111,99,106,205,US
